"n"	"date"	"dream"
"011"	"n/a"	"(10/09/1990 (#2)) Rob and I - we each feel the fertilized seed inside me.  It doesn't dawn on me that I'm pregnant til later.  Then I'm very upset.  He is calm.  I thought I could give it away somehow before it starts development.  After stressing about the impending abortion, it suddenly hits me:  I don't have to give it away.  This is Rob's baby, I've wanted this.  I'd be stupid to give it up.  I can keep it.  In this dream, Rob was thinking about other women, there was this impending future separation, when I would give the embryo to his new girl (or old girlfriend). [Rob was a major love interest of mine, met him while fighting a fire in California, fell head over heels for him, but he was always 'unattainable'.]"
"012"	"n/a"	"(10/09/1990 (#3)) At a singing convention or something.  I get my hotel room, meet my roommate.  Another girl walks in.  As she's leaving she starts to kiss me, then says, ""of course, if you don't want to, I understand.""  ""Wait,"" I say, ""let's talk about this.  Do you want to go somewhere private?""  I'm looking at my roommate and her friend, wondering why they're listening in.  My roommate says, ""We'd rather watch this.""  But the girl and I leave; down the hall.  We're getting into some cupboard like the kind under a grocery register.  She's not as open now.  I tell her that earlier I had wanted to kiss her, it had felt so natural, did she know what I meant?  ""Yes,"" she "
"013"	"(01/31/1991)"	"[Saw Mindwalk last night.] Since people feel powerless at doing something about pollution, set up coin-op river (or stack?) scrubbers, like a little parking meter, you put in a dollar, and so much charcoal is emptied out into the water to purify it.  Then people will feel an immediate part of the solution. Low cost per person."
"014"	"n/a"	"(03/27/1991 (#1)) With Jeff (ex-fiance' who is a chef) in restaurant in a house, upstairs.  Some danger or scare.  I run downstairs, then up."
"015"	"n/a"	"(03/27/1991 (#2)) Important dream, more substance, neat things happening but I can't remember any of them.  Surroundings unusual.  I go downstairs.  A man is there who I like.  Events I can't remember, playing.  I get on elevator and just before the door closes, I pull the man in too.  We go up.  We are happy, smiling together.  Rob? or Dan?"
"016"	"(04/15/1991)"	"I met Michio Kushi [macrobiotic guru] at a gathering.  He had a great sense of humor.  He held a round heavy ball in his hands.  We talked about food."
"017"	"n/a"	"(04/16/1991 (#1)) I had a small cat I wanted to take care of.  I wanted to mother and love it.  Then it was a roach, in the cactus pot I have that is pink stucco and oval.  I still wanted to take care of it.  (Like if I can't have a kid, I'll have cacti to take care of.)"
"018"	"n/a"	"(04/16/1991 (#2)) A traveling dream."
"019"	"(07/20/1991)"	"The fire crew is around.  The houses we live in are much nicer, larger, with shiny black tile floor in the bathroom.  Bathroom is much larger than in reality.  I start to feel sick.  I am aware the rest of the crew are in their houses or one nearby house.  I have trouble breathing.  It seems lungs or nose is so blocked I can barely get enough air in.  It gets worse and worse til I am using all my effort just to suck in air.  I see the assistant crew boss and tell him I can hardly breathe.  He seems totally unconcerned and says something like - Well it won't last very long.  I find if I just move [I actually turned over in bed] I can suddenly breathe okay, but the potential for blocking air is still there.  Next I am in our bath / bedroom.  It is nicely furnished.  I undress, look down and discover I have a penis, an erection.  Female parts too.  I think: so this is what it's like to feel an erection.  Then blood - I get in the tub - lots of blood - clumps, not drops.  Feel like I will pass out.  I call Michelle to take me to the hospital."
"020"	"n/a"	"(07/20/1991 (#2)) My oldest sister's college boyfriend is telling Dad how to do something. [I had asked earlier, on the fire crew bus, for lower back pain to go away, to discover the emotional reason for this pain.  I fell asleep immediately on the bus.]"
"021"	"n/a"	"(07/21/1991 (#1)) I am at a dating service / match-up in an upscale neighborhood near Dallas.  Very nice house, uppity, well furnished, deep browns.  Filling out the form / questionnaire.  Two or three young women, impeccably groomed, go over it with me.  They are nice.  I have been called back to change the form, later.  I have too many requirements for the man I want. Michelle [of fire crew] is in the house, she's filling one out.  I vaguely recall she was the one who marked some of the requirements for my match man, things I didn't really want or need in  a man.  Like - ""good-looking"" and ""has money"".  We had been in a hurry or something so she did these for me, although she wasn't there the first time I filled it out.  So I'm redoing things on the form, the women come over to help sometimes.  Meanwhile they are throwing a party, matchmaking party for a group of the women and men who are clients.  It is in a nearby room with door closed or cracked.  One man (reminds me of a firefighter on another crew) comes out of the party, I hear party sounds, and comes over to me.  I feel rather underdressed, not re: style, but bare-legged, but I like his attention.  I look down and see I have wild tights on, shorts?  Colorful patterns.  It is understood that he is part of, or was put in, the group of available people in the party room, and that he is not to be part of the group I will be matched with.  He is smiling and likes me.  Oh, before this, I could see my reflection as I refilled out the form, in a nice wall hanging.  Once, the table I was sitting on moved and I scooted it back so I could see myself again in the mirror or wall hanging or picture.  I sat on the big table most of the time, then moved to sit at one end.  Anyway, something about liking how I look when he comes over.  We are talking when one of the business women comes over and admonishes him for coming out, because I am not part of the group of women they would have picked for him.  I am amused at all this, not sad or feeling loss.  Michelle is in that party room, I hear music and laughter.  I wonder slightly why she already has a party set up when I filled out forms before her but it doesn't bother me.  I am just amused this guy left his group, came out and saw me and took interest."
"022"	"n/a"	"(07/21/1991 (#2)) Next I am dreaming of Cher.  She is very buoyant, big personality.  She is talking about what she would want to be, professions.  She goes through each one, and acts each out, jumping, diving, in various costumes.  She goes through several, all action.  Then the last one, she says, ""or I would be a lap-dog.  I had this lap-dog once, and he was so (wonderful?) or (cuddly?).""  To act it out, we go to see him at her house.  (Now, apparently she still has him.)  We walk to her house.  At the entrance, she opens the door, there is a staircase, white, stucco or rock or cement, smooth and clean, right there by the door.  She calls the dog and sits on a lower step.  Dog comes around the corner, down the stairs.  It is white, small, a kind I do not like.  She holds it and pets it."
"023"	"n/a"	"(07/21/1991 (#3)) I see a small pool of water between the stair and door.  The door is still open.  I sit at the pool/fountain and am pushing small pebbles around with my bare foot, moving them into places.  Cher says, when I take my foot out, that I am tracking rocks around (the steps) or (her house).  I pick up the pebbles with my toes and put them back in the water.  Slightly embarrassed at getting her house dirty."
"024"	"(07/25/1991)"	"I dream about my middle sister's baby, its name is David. [In reality she doe not have any children.] My middle sister is sad about being pregnant.  But it definitely changes her, makes her stronger, more mature.  I don't know who the father is.  Mom cooks 15 turkeys - ovens all over the whole wall - pumpkin pies, Thanksgiving.  Telling someone about the time I had to go outside to turn off a light - being scared.  Good feelings in all parts of this dream.  Male friends (I don't recognize them) coming by, or I meet them.  Or male friends are there for Thanksgiving - good feelings about this. Making love with a guy, telling my pregnant sister so she can decide to leave the room.  Hazy:  Deciding to get in my car and go to Northern Arizona, Petrified Forest, or Hovenweep?  Or to school?  Looking at baby - its eyes, its smile, not picking it up but thinking about it.  (Why don't I pick it up?  I want to, but don't.)  Baby's eyes moving - first they're close-set, then wider apart.  Pregnant sister is about to go on a trip - She's planning on delivering baby while on trip.  When we protest she acts like - what can I do?  ( I think she won the trip.)  She feels she has to follow through with the trip."
"025"	"n/a"	"(07/26/1991 (#1)) First the assistant fire crew boss is taking the crew through the USFS compound.  Houses are older, SF style and others, stylish, but running down and abandoned.  Then I am coming to a home - not mine.  I go inside and there's a housekeeper - male - he looks like the maintenance ranger at The Maze or that guy on Star Trek.  He is rather weird - quiet, over-polite, but it's like when he gets alone he is laughing at us.  I feel sorry for him.  He has a sort of power.  Scene of me running around old buildings / houses, up and down steps, through passages.  Scene in apartment, preparing to or taking a bath.  Boyfriend there?  Him cleaning up after my spill - food?  Something about unpacking a suitcase."
"026"	"n/a"	"(07/26/1991 (#2)) Allen (my good friend from high school) and I are out partying.  Lots of traveling around, some car scenes, headlights?  Allen is okay, then he starts to have like drug withdrawal spasms or coming off drugs.  He's spazzing out, shaking, convulsions.  Scares me.  I try to get him home, which is hard.  I'm pulling him at one point - we're out by the road, and half his middle finger comes off in my hand and goes flying.  I ignore it and get him home.  Curvy roads, narrow, dark.  Next morning I ask him how his hand is.  He pulls it up and notices for the first time that half his finger is missing.  Sadness, anxiety.  When I woke up - 2 things in mind.  First, I was repeating the phrase ""time is time for asbestos"" or ""the time is the time for asbestos"".  (They're doing asbestos testing here at the fire crew houses at Blue Ridge.)  Also, I had the feeling some character had been pleading for something in the dream, over and over.  Like ""please mister can we sleep here?  or stay here?""  Or ""do something"".  Feeling it had to do with Marten (fellow park ranger, casual lover, never a boyfriend) telling me about the kids dying in the car crash he responded to.  Like one of them asking?"
"027"	"(07/29/1991)"	"[Slept outside] I am pregnant, I figure out the due date by counting exactly nine months.  It is soon.  I see and feel my big round stomach.  I tell two friends when the due date is and on that day we wait for labor to begin.  It doesn't start.  I am disappointed and keep counting, recounting back nine months, going, yes this is the day, then realizing it could be within any two weeks or so from now.  Later I know it's been born but realize it is a colt.  Same two friends and I go see the colt.  I am very protective of it, wanting to feed it.  It seems violent or the object of violence by other horses.  This is a dream where when I woke up I was repeating a sentence or phrase (again) which had nothing to do with the dream.  Can't remember that phrase now.  At one point I and the fire crew are in a house under construction.  We are waiting to work there?  Some stuff goes on.  Then I see a little smoke, like from a cigarette.  I look for it but can't find it and also feel so drowsy and hazy that I begin slapping my face and hitting my head to try to wake up.  I say to myself how blurry everything is.  Then I see smoke again and pinpoint it around a corner in this house.  But I'm still too blurry-eyed to get it exactly.  I feel sleepy and foggy.  Slapping my face.  Doesn't work.  At this point is when I think I opened my eyes a bit on the couch and actually did see a hallucination of smoke in my living room.  Then I experienced a false awakening.  I dreamed that I woke up and went to the next room and found Kevin, another firefighter on the crew.  I tell him laughing that I just saw smoke and that I tried to wake myself up by slapping myself but it didn't work so I must have been dreaming.  I go up some stairs and must have been thinking about how strange what just happened was, when I got the idea that I had traveled astrally.  I think maybe something else happened in between that was astral travel, because I was convinced and excited that I must have just left my body.  I either went up those stairs excited about it or I sent my astral body up the stairs.  I turned and saw Brion and said ""Brion - such and such just happened so I was traveling in my astral body!  I went out of body!""  Then seeing him and still being blurry-eyed like before I said:  ""Come up here and just stand there a minute.  I think I can see your aura.""  He came and stood.  I took a good look all over him.  ( A rushing sound?)  Close up, certain parts.  I remembered reading you should half-close your eyes to see auras, so I did.  The feeling was intense as I did this.  He had a white glowing halo all around his body.  It didn't have great shape though and I kept feeling it was just because my eyesight was so bad and I couldn't focus, so maybe it wasn't his aura.  I don't know.  I looked at a few other things and the people I think all had that white hazy glow around them.  Then Kevin saw some cigarette papers and wanted a cigarette.  I didn't want him to because I remembered seeing that smoke in the house.  I told him - ""well we're not supposed to smoke inside, and your tobacco is not here, it's out (in the car?), and also I had that dream, remember, and maybe it's a precognitive dream?  What if it comes true?""  I was pretty convinced it was precognitive.  That's why I really didn't want him to smoke.  But I couldn't tell him no.  Next I went to the jeep and drove somewhere, like a shopping area.  I found Mom and Dad and they had just bought my middle sister a new Toyota pickup truck - red.  Dad especially was surprised to see me.  Said something like - ""well look who's here.  What are you doing here?""  Don't remember much else."
"028"	"n/a"	"(08/22/1991 (#1)) I decide to run away and live in Carlsbad Cave.  I want to disappear from my known society.  I bring a few things, but realize later the things I forgot.  Seems like I had a pillow or sleeping bag.  I go to the cave, planning all the while where I will sleep in the cave, how I will live.  The cave is a totally different setup than it is in waking reality.  But I know my way and recognize passages.  I wonder how I will get into a side passage without all the tourists seeing me.  I look for the passage I want, passing up some because they are not the right ones.  I find the one I want and carry my stuff in.  I am thinking about cave security, logistics of getting out, when they close the cave and lock it, etc.  I go back in this passage (I wanted one with light so I can read) and at some point realize that it connects to a ranger parking area, like a covered garage or in-cave parking.  So a ranger sees me (seems like he recognizes me), and my stuff and he frowns, wondering what I'm doing there.  I realize this is pretty impossible, living in this cave.  So I decide to go home and to impress everyone, I think, I'll walk home.  From New Mexico.  Then I think how will I get my jeep home?  I think, I'll push it home."
"029"	"n/a"	"(08/22/1991 (#2)) I am in a suburban area.  In one part I am in a bar or restaurant.  I go in alone and am going to order and eat alone.  My oldest sister is there, with someone.  I say hi and find a black high stool to sit on.  She is really surprised I am not going to sit with her.  Then I start seeing people who know me.  One big man comes out, sees me, gives me a big hug and says he missed me. [Tom B?] It is like being at Charly's [bar in Flagstaff] at open mic., everyone knowing me.  Then Joel (another student) is there.  I am so glad to see him.  We hug and talk, look for another black stool for him.  There is something significant about doing this in front of my oldest sister, like showing her how many people like me and miss me.  Later I am driving around, looking for Joel's or maybe Pat E's house.  It is an unfamiliar area to me now, but it seemed like I'd been there once before.  I read the street signs but don't quite remember them now."
"030"	"n/a"	"(08/29/1991 (#1)) I am in a dream with Dad and family and we're traveling in a Volkswagen bus or van.  The car breaks down?  We have to push it?  We are low on food or ill-prepared and I tell Mom or Dad I'm really hungry, ""don't they have any food? because I didn't bring any.""  Then I remember I do have some.  And I get up and rummage around this makeshift wooden shelf built in the van, at about head level.  It's like the car is either packed full or these boards are really hard to get around.  And I see a paper bag full of my familiar foods - rice cakes, macrobiotic stuff."
"031"	"n/a"	"(08/29/1991 (#2)) I am in a place that is remote, desert or seaside and not wealthy, like Rocky Point, Mexico.  But it is not Mexico.  I am hired as a housekeeper/nanny by a particular household that is quite wealthy.  On the way there, we hire another woman for the same job, so there'll be two of us.  She is beautiful, tall, blond, capable, sure, grounded.  I know I will enjoy being with her.  The house is huge and very nicely furnished.  There are so many floors and rooms I keep discovering more.  But right away the other woman housekeeper and I find out there is something strange and unfair about the family.  We never see the mom or dad but the son is about ten and very spoiled.  We also see the house manager or cook or someone, an older? woman.  The blond girl decides to start laundry, and she is going through the house finding things that need doing, while I am unsure because I've never had this job before.  She is in the kitchen by a wood block, talking to the son.  Manager woman is there?  I find out she's agreed to keep a secret for the son, about two fish he had as pets.  He has taken them out of the water and rolled them in a newspaper sheet and put them in a kitchen cupboard, a higher one, above an oven or something.  Blond girl says she won't say anything.  But then there is a blowup where manager comes in demanding answers to the fish mystery, son is silent;  absent mom, we find out, is mad.  I am quiet too.  Blonde girl is doing laundry when manager comes in, talks to her, fires her.  Blond girl is upset, her boyfriend comes to get her.  I can even see them as they drive down the road in that poor place, although I haven't left the house.  So I get to work.  I start stripping the beds, I discover another laundry room in the house, I'm working quickly, trying to do a good job.  Right before she got fired, after the blowup about the fish, I had either written a note or told someone I would show them where the fish was and solve it.  Now, while working, I realize I had better stay out of it.  Manager comes in and, seeming sorry about firing her, asks - so how good a housekeeper was she (the blonde girl)?  I say ""I don't know!  I've never done this job before and have nothing to compare her with!""  I go running while the laundry is in.  I'm running through streets, deserty, toward a beach or strip, it's poor around me."
"032"	"n/a"	"(08/29/1991 (#3)) Also I dreamed I was in a situation with a boyfriend I had after Robert K, but I don't know which one.  He was pretty normal.  In this dream I was cleaning up Robert K's ""messes"", I remember a big pizza box in the back of a house that he's left there, with half eaten pizza.  This man and I do or decide other things, walking through house. [I think this came before the housecleaning dream.]"
"033"	"n/a"	"(08/29/1991 (#4)) Also had a dream I was in the Sarah Lawrence Performing Arts Center, watching a student-choreographed piece.  It was in the present because I clearly felt sad that I had once watched Xandria (a fellow student at Sarah Lawrence) dance there, one time after her abortion.  The piece in the dream was incredibly beautiful and moving.  I remember one young woman sitting with one knee up? moving her head in precise, haunting ways.  Lighting was interesting.  I remember missing seeing those concerts, and missing Xandria and Isabella and also the person that I was then, feeling the happiness of the person I was at that time and place."
"034"	"n/a"	"(08/29/1991 (#5)) I am on the back patio of a wealthy ranch-style house.  Dad is around.  Richard Dreyfuss too?  He keeps bugging me.  I am standing up the whole time.  I am weaving with cotton, a small thick rug, like an Indian rug.  Then I take a stiff card and scrape, scrape hard down the square I've weaved.  It becomes more finished-looking.  Then I think - that's the Pueblo way, now the Navajo way is to scrape horizontally.  So I turn the card on its side and scrape horizontally, and more fluff comes off, it's like big pieces of extra fluff are coming away, making it look better and better.  This guy comes up and tells me something negative.  Like I'd better do something (can't remember what) or it won't be right.  I feel contempt for him.  I am aware that I've been standing this whole time.  Later I'm with Dad in the front yard - well manicured lawn and trees. [Dad was in another Native American dream located near our childhood home - something about a cave.]"
"035"	"n/a"	"(08/29/1991 (#6)) I am in my room as it is in Tucson.  Visitors are there.  We three are sharing the bed.  But they keep rearranging the room, the pillows, the board under my bed is cut in half, half gone.  It is late.  I am getting annoyed.  Then Mom is there, taking clothes out of the closet, she wants just one dowel rod.  I am getting more upset, telling her to stop but she doesn't.  I remember the clock over on the windowsill."
"036"	"n/a"	"(08/31/1991 (#1)) I am driving in the jeep with Robert P (a former boyfriend), toward a National Park.  It's a generic N.P. because I don't recognize it.  We're going uphill.  We start to roll backwards, downhill.  The brakes are not working well.  I try the emergency brake.  It also does not work.  We are rolling fairly slowly backwards, downhill.  I am scared but Robert P seems unconcerned, almost mocking me.  I finally have to ask him what to do.  He is not helping at all.  He says something about jumping out at a certain point.  I look out the window and rear-view mirror, notice I have my white filmy dress on.  I decide to roll the jeep into a ditch.  I do, it stops.  I get out and walk up the hill.  After that, Robert P's not in the dream.  I come to the N.P., feeling comfortable and sure like I always do in N.P.'s, that familiarity.  I talk to a ranger inside about the car trouble, ask him for phone.  Nice visitor center.  I go to the phone, there's a line of people waiting to use the phone.  A woman cuts in, and everyone else crabs at her about how long they've been waiting.  She leaves, suddenly it's my turn.  As soon as I step up to pick up the receiver to call Dad about the car, Dad walks up to me right there!!!!  I find this amazing!  Dad and I talk about the jeep, he figures out what's wrong without even looking at it.  He's a little disgusted in his way about car trouble - a nuisance.  Then there's a N.P./Ranger series of events. Something about Dad wanting this wood and wire net structure they were going to throw out.  A ranger is frowning at him when he picks it up (it's pretty big).  Discouraging him.  Ranger suggests he can do it (whatever he needs to do -  like carrying a bunch of these items out) another way.  Ranger helps him set it up.  Mom is there now, in background.  I help too but the technology is all new to me.  I feel incapable but learning.  The Ranger gets a larger tarp-like thing and says Dad can use this.  It is a thing that, when wetted, will keep things warm.  Ranger gets hose and Dad and he are hosing this circular part of it to activate it.  It is a rubber-like material.  I get on hands and knees to help, and feel the water coming toward me, washing over my hands and nearby items.  I really felt like I was witnessing some new, incredible breakthrough technology, something we don't have here on earth yet."
"037"	"n/a"	"(08/31/1991 (#2)) I am at Rob's.  But while the dream is long, and it all occurs at Rob's, he never appears in it.  It is clear that he is always busy with some errand or task with another woman.  I am sure he is not 'seeing' these women romantically, he is helping them out or visiting them, but then again, he does like women.  In one part, I decide to clean his bathroom.  The details of each fixture and the black trim on the woodwork are very vivid.  His sister is around?"
"038"	"(09/02/1991)"	"Rob and I are at a dinner party or get together at one of his friends'.  We are happy together.  He is introducing me to his friends.  I start to help hostess make salad.  Salad spinner.  Even though Rob goes to talk to friends now and then, he always comes back to see how I am, to see me.  In the kitchen we hug and he starts kissing  my neck, slowly and teasing, up my neck.  He is turning me on and we are both so happy.  I have to push him away because my legs have started to climb up his legs of their own volition - he is turning me on.  We are laughing and I pull him close and whisper fiercely - I am going to kill you! (for turning me on at this party).  The hostess asks me to watch one of the children.  I sit down with him - he's pretty young.  There are other children, adults mingling.  The child I'm watching takes a blue water bottle and presses it on the head of one of his toy men in a little car.  I tell him ""No"" and take the water bottle off, ""don't hurt your toy, No.""  I check to make sure the toy man is okay because this toy is alive, he's a little man, and though he is squished, he pops up with a dazed look.  Back to kid I'm watching.  He understands the admonishment and turns straight at me and says ""rhyme?"" and then starts reciting poetry he's making up right then.  His arms are gesturing passionately, he is totally uninhibited and talented, spouting off beautiful phrases like ""sky of blue. wings of swans! . . .""  There's more, longer lines.  At 'wings' his arms curve over his head.  Incredible kid.  I am blown away.  At the end of the poem Rob has come over.  I say ""what's this kid's name?""  It's something like Albert.  I tell Rob he is an incredible and expressive poet.  Rob and I then have some playful interlude, some joking or horsing around.  It is much fun.  While there are moments in this dream that I am taken by little worries - e.g. why doesn't she want me to make the salad?  Is Rob embarrassed that I got so turned on?  The difference in this dream is that I am able to very quickly say - who cares? or - not worth worrying about, and go on to the next playful move or task.  There is an air of playfulness and joking, caring with Rob."
