"n"	"date"	"dream"
"011"	"(10/29/07)"	"It was again a dream on the Bahama island of Andros. This time, though, it was a quasi-race, like the gumball rally, only on foot. It began like a 5k run. I began at the head of the pack, and challenged myself to stay that way. I always start that way. I have no patience. But because of the technical nature of the course, my head kept in the game. It was over streams and things, then it took a right turn. We went up a tree and into an abandoned mining house, like the kind at Disney world. We went across a synthetic board linking the roof to a rail system that had palm frond particleboard instead of ties. They did things that way here. The linking bridge -- I was certain the course organizers put them there -- they looked too new and custom-made, like tar-paper-covered boards on a mountain bike trail. Eventually, things began to get mythical. We needed to get onto the roof of an old woman's house -she had the ancient aura of Amelia Marshal, but she baked goods instead of made baskets. There was one runner guy who had lead the pack. I was behind him for most of the way, but still up at the front. When we got to the dead-end house part -- we didn't want to disturb her from sleeping. We had to get permission to go through. So we had to wait until she woke up. But I got a better idea. There was a tree next to her house and one in the yard. They had long branches. I climbed and pulled down one branch. Another competitor jumped for it. Grabbed it, and made it to the roof. Another did the same for me, but it was really far -- and I was in a different place. It was a skinny branch, and there was a chance of it breaking. Instead, I went inside and asked her nicely. She baked me a pastry. I ate it, but then things changed."
"012"	"(10/29/07)"	"There was a robot guard lady. She was big, and made of iron. She was going after a sleeping friend in the blue-light-covered colder upstairs part of her house. It was difficult to defeat, because of its mass. I hit it, dented it, and smashed at it on every joint and from every angle. Eventually, it fell. I dodged its blows because it was slow. I hit it. But then it turned into a more feminine robot. It was still muscular, but somewhat attractive, with blonde hair and a pierced nose. It got even softer as I began to talk to it. It looked like the hot Krishna girl. It opened its legs and I began having sexual intercourse it. She said it was very enjoyable, because I was passionate, not self-centered."
"013"	"(10/29/07)"	"There was going to be an opening to the next stage. I went to the roof, but everything turned cold. The robot froze. My companions, they gave in to the cold. The snowstorm was so ferocious, I gave my blue jacket to a companion, but he froze. I took it from him and put it on. He was gone. I figured with my fleece and that jacket, I'd be fine. The old woman walked out, then froze. I felt bad, but she went without complaint. Then, I walked to a portal and faced the final boss in a Halo (video game) multiplayer map-like arena. It was gray and had cube-like spires. I beat it and got my ranking. But it was real life. I was near the top, but not the best. I was yellow, the best was orange on the scale. Very aggressive amateur. About 1192 out of 1800. I was angry that I should have gotten a higher score. Only one or two was better than mine."
"014"	"(11/13/07)"	"I was in my apartment. It was raining hard. People and strangers were all hanging around, waiting for some tremendous event, like a hurricane, to happen. We flitted around the restaurants nearby. I returned to wait. To play Halo, the video game, or rather, to consider playing it as I tried to get work done with the usual noise happening all around. I walked outside to the porch, reminded me of the porch in a house I once lived in, only it was the front parking lot of the apartment I lived in while a junior in college. I was just chilling--it was really late--so late, it was almost early. The college student newspaper I had worked for had gotten out. And then co-worker I was attracted to, Sue, appeared through the sliding glass door. She was wearing a blue nightgown, with a deep v between her breasts, which seemed much bigger than normal. She looked amazing. I told her that. She really was the most amazing thing I had ever seen, with her golden locks flowing down over her shoulders. She was trying to get reception on her Cingular phone. She had a booster. I told her there used to be a receiver or something on the roof."
"015"	"(12/14/07)"	"Checked into a by-the-hour motel with the Hoffman sisters, whom I know as friends. The guy at the counter was busy, so he really didn't care about keeping track of the time. ""Just get out by tomorrow,"" he said. I checked the place out, but Katrina Hoffman was tired and crashed on the sheets, which I warned were probably not clean. Rebecca Hoffman was being flirty, even though I was seeing her sister. A voice came on telling me my mud turtle buried itself in the mud under a rock and probably died. I was in denial, because the turtle burrowed under there itself and turtles can live in hibernation for months. When I lifted the rock in the muddy enclosure to find out, lots of other bright-eyed geckos and other animals came out, in addition to my gecko."
"016"	"(01/16/08)"	"It was in another country or world, where the rules were suspended and the technology was like old-mob Chicago meets swords and scythes. There was a large complex -- a restaurant lounge next to a hardware/junk parts depot. I was coming in from the outside, from a more prosperous place, after being away for a long time. My family, though, had stayed behind. Well, what was left of it anyway. The locals scoffed at me for being too soft, too high cultured. I thought they could be right. To me, they were dirty and stupid. But quite rough. The owner of the complex, guess who, a scheming Persian, had slighted my mother in some nefarious way. I sought revenge. At first, he tried to appease me, bribe me off. I started to walk away, but then rage came over me. With a well-connected friend at my side, I grabbed up a pole with a reaper-like scythe, but with a more hook-like blade, and charged into the outdoor bar, which was assembled with makeshift barrels and bare, gray-aged plywood. The building it was attached to was a former postal facility. It was huge, like the building of the newspaper where I interned. The man saw me, and then darted away into a mail shoot. He had a pistol with him. As I moved to follow him, I hesitated -- my large weapon would be unwieldy inside. My friend opened his jacket and revealed a 6-shot revolver. I took it from him, and attacked. I could see his head just peering over the top of the maze-like aluminum dividers. I fired for his head. The bullets were bunk. The shots came out slow. They didn't penetrate all the way through. I fired, each shot whizzing inches by his head, diverted by the metal. I fired a close one. It must have grazed him. He stumbled near an exit. I had a clean shot. Click. I was out. He raised his weapon and came after me. I ducked behind a corner and ran. My friend had a hard time getting more bullets out of his pocket. He handed me three. I put one, two in. and fumbled with the third. Screw it. I hope they go in the correct rotation order. He appears over the top of a metal wall. I shoot him in the chest as he raises his gun to fire. He falls back, but is still alive. I move to kill him. His daughter appears. She helped him in the plan against my family. She is pretty, but looks kind of gypsy-like. I knock her to the floor. My friend says, let's rape her. He grabs her by the arms and holds her. This actually excites me. Yes, I want revenge. Yes, I very well could be within my rights. I move to her, and pull up her thin, tattered dress. I think about it. She could have a disease. I touch her. She's wet, sticky. I decide no. I can't do this. I go to her father and put a bullet in his head. She pulls a rat-shot makeshift gun from her side and shoots him in the chest. It's almost as if she wanted it. She could have used it on us to get away. I guess she didn't like him."
"017"	"(01/19/08)"	"Jordan, an ex-boyfriend of my former girlfriend Annie, invited me over to his house. He was far more docile and timid than I remember. He wasn't angry. Just told me to watch out--to be sure I really knew her before I got any deeper. That she was the type to lead guys on, and mess with them. Then I went to go check her out. She was staying back in her place in the north. In my head, it was a nearby university town, but more rural. I went around campus, checking around. I'd rented a minivan -- to carry all my stuff. For some reason, I brought all my essentials. Then I got an e-mail -- I just read it. It felt like it was beamed into my head or onto a sheet of paper right in my hands that I was reading. She said she wanted my sperm. And that if she were a sperm, she would want to be inside my warm body and then have it swim into hers. She's crazy like that, I admitted. I couldn't get a hold of her all day, like in real life. So I went to go pack up my mini van. But apparently, the one I loaded up with my stuff was the wrong one. It had been sketchily commandeered by a Chinese businessman and his associate and his driver. The driver was going to the airport. It felt like another country. It was like $50 a mile for rental and gas. I felt sick thinking of the miles rolling past -- and that I had left the minivan, the one I rented, back at the college part of town. We stopped to get gas at a Sunoco or something or a Shell on a busy strip filled with fast-food strip malls near the airport. I called Annie. I finally got through. There was laughing in the background. Her tone was like, ""Hello? ohhh, Hi.... yeah, I'm having fun right now -- what do you want?"" I asked her to pick me up. She sounded hesitant, like she couldn't. Then, I woke up."
"018"	"n/a"	"(01/19/08 [nap]) I am a reporting intern at a newspaper. I am assigned a case involving a soft-core porn star in a photo shoot gone bad. I was supposed to meet with her at a pre-arranged time, along with another reporter, Kat. I was waiting for the call from the source when something came in over the police scanner -- a 911 call came in from Kat. She was reported missing. I got a text message from an unknown number stating that she was in trouble, and that I was supposed to arrive at the location, a parking garage, ASAP. For plot purposes, I'll add that the source witnessed an uneasy actress get drugged to ""calm her nerves."" But somehow, through OD or allergic reaction, she died. The drugs were administered to her after she had already been plied with alcohol. And she took convincing to take it. The witness played dumb. Still, they threatened her. I rush to the parking garage. Another reporter had already been dispatched -- most of the editors hadn't known we would be there for the story, and the cops' reporter just heard of the situation from the police radio. The report stated that Kat had been struck over the head when she neared the pre-arranged meeting place. She found herself slumped in the bed of a truck a few moments later. She woke up -- they hadn't knocked her out for too long. She got up, and began to run in a staggered way away, down the ramp. She got down a level, and the people had noticed her escape. They chased after her. The brown ford pickup was right in front of her. Her back was to the railing. One of the guys ran at her, but tripped over a parking block. Kat started screaming.  The other, who got spooked, opened the door. A Starbucks cup with my first name on it fell out. The guy got up and ran back to the truck. A pedestrian started to approach. The truck peeled out. It appears that I looked too eager to write the story. The editors criticized me for thinking it was in my station to cover something this big. And because of the cup, I was accused of even being complicit in the plans. Also, there was a report that came in that said four reporters had gone missing, but it was later amended."
"019"	"(01/20/08)"	"""Let's go. Hands behind your back. Let's go."" The officer's voice was so calm, so soft and casual. The words entered my dream. (I woke up and found a man was actually being arrested outside my window.) "
"020"	"(01/26/08)"	"I was with a fly-ins (journalism project) group on a Hawaiian island. We were studying something, but then our time was up -- and a terrifying natural phenomenon was occurring -- towering waves, taller than the mountains, were rising up out of the sea and slamming into the barrier islands. The spray washed for miles, and the huge, luxurious resort hotels were being rained on by the deluge, despite their distance. The water poured down the rocky ledges below the resorts. Many had watersides into the deep turquoise channel, which looked warm and welcoming, despite the darkness on the horizon, the area shaded by the rain and waves. The hotels were used to this, it appeared, because they had water channels. If I were a guest, I would be terrified. But the buildings looked to be built like bank vaults. Just before the hotel, I was running through an ancient aqueduct system, that was blue and sea green tile all over. The walls of water were rushing from every direction. Me and my accomplice ducked behind a pilaster to avoid the wall. When it passed, we ran some more, but couldn't run our fastest -- the floors were slippery. I pushed off columns with my hand for that much extra momentum. We made a right turn and entered the hotel level."
"021"	"(01/26/08)"	"I was going through level after level of ancient ruin. These weren't the deepest, darkest mazes, but more like gutted old stone houses, with doors and dungeons that lead to other realms. On one of the final levels, a vampiress came out of one door and was trying to escape into another. She was a spy. Hit her with my sticks. I had two sticks, strong, fighting sticks. She dropped a potion. When activated, poured out, I guess (didn't want to think what would happen if drank -- would the portal open inside you?) a portal opened. Me and my party went inside. Inside, my team was instantly assailed by a group of sadistic killers. One was holding hostage a daughter of one of the people. Only he had the key. We chased him around the top level of a penthouse suite. He was fond of knives. He was approaching one in a room alone, then I came in, grabbed him, and hurled him against a mirror, grabbing the back of his head and then slamming it into the glass, breaking it, then dragging his face down the splintered slivers, hoping the edges would grab on his skin. I then threw him down when he didn't reveal the location of the key. I held him on his stomach, then took out a couple pieces of glass from the mirror. I threatened to cut him more. He was silent. A fellow emptied his pockets and there were two sharp pocketknives. I got up to reach for one, but then the guy made his escape. I looked back, he was gone. He'd gone outside -- there were similar battles going on in every room and hallway - it was chaos. He shut the door... and the peephole had been reversed. I looked under. I could see his feet. I grabbed a knife, an old, but still shining and sharp cross-handled dagger, and slammed it through the door, hopefully to hit his body pressed up against it. His knife, the same model as mine, came through at the same time and jabbed me in the hand. I wanted to slam through the peephole and get him in the eye. The door was a tan color. There was carpet in the room. Then, the door flung open. He had taken one of our older guys, like Captain Picard, hostage. The knife was to his neck. I wanted to throw my knife, but I didn't think it would take him down before he could cut our friend. Then, an old assassin on our side came up behind him and cut his throat with a razor. He fell to the floor, releasing our guy. Then when we were happy, the guy got up. Or started to. The assassin hit him again in the chest. I threw my knife. It hit his chest with the hilt, but then bounced and jabbed his face. He didn't move. He was dead. Also, back at the hotel, after the fight, I had a lot of glass shards embedded in my bare feet. I kept having to pull them out, like three or four long shards. I remember hit hurting, but it hurt the people looking on more to see these long pieces coming out all bloody."
"022"	"(01/26/08)"	"Exploration of a ruin. Ancient evil stuff there. Another strong, beautiful female went into the submerged place... and then a curse came upon her. The air in her tank disappeared and she had to live for a day on the scant air in the dungeon, which had filled up with even more water. In the dungeon with no air, I went in to help. There were doors, inside were creatures -- venomous, toothy, dog-like beasts that were like hairless, slimy pit-bulls, but evil. I had a sort of map in my head of my abilities. Acid spray, fire bolt, disable, life drain -- that sort of thing. I selected some, and then blasted one of the creatures when it came out at me. It didn't do much. It was more powerful than my abilities. I beat it to death with my hands. The girl survived. She remained calm. Opened a passage, and used the air up in each one, slowly."
"023"	"(01/26/08)"	"A co-worker I was attracted to, Sue, was chiding me about not following up to a porn story. I'd been researching it for a long time. I'd gotten in on the industry. The industry where we were was built on a shady dungeon... filled with water. She was working for the newspaper where I interned one summer while in college. She was writing a story in a cubicle across from me. I looked over and IM'd her. She laughed because I was right there. I looked into her eyes. I laughed. God, I wanted her."
"024"	"(02/02/08)"	"I dreamed that I was working in the newsroom of the newspaper where I interned, after writing stories all day, and then Miriam and Heidi (editors) came up to me and said I was fired. Heidi, in her timid yet last-word way, told me they had to let me go. They didn't give any real reason, just that I wasn't doing my job up to standards and they had decided to fire me. I didn't see it coming. They handed me a check for $1000 and said I had to go. I was distraught. I didn't know why. I asked, why? Are you serious? Come on, I've done a great job every day, what reason do you have? Their response was still, we're sorry. We like you, but we need to let you go. I was afraid. Thoughts of the future ran through my head. What was I going to do? Where was I going to go? How will this affect my future at the newspaper that had just hired me? I was on the verge of tears. I was begging to let me stay, or at least give me an explanation. They wouldn't. I especially thought I could affect Heidi with my pleas. Didn't work. I left, and went home. I got in my car and just drove. When I arrived, I walked in all disappointed. I told my mother what happened. She tried to comfort me, but her words felt patronizing. They gave me an ""I told you so"" that it wasn't a real internship, that they were leading me on. I got mad at them. I showed them my paycheck. My father was there, and he said it was a fake thing and I should tear it up. I insisted that it wasn't - because it was real. I went downstairs to my room in the house we lived in when I was a young teenager. The walls were blue, and the desk was against the wall facing the Taylors' house. The desk was dark wooden particleboard. It was scratched, and smelled like spilt cereal and had snot on it. I sat down my new laptop on the old keyboard tray and began to play a sim-copter like game. My newspaper job, apparently, was parallel to flight school. My first helicopter was a small 2-seater. I took off and made a perfect landing. Shows them. Then, I got upgraded. It was fast, a heavy lifter. 4.5 stars. And priced reasonably as well. There were other options, like the fat, heavy birtha copter. It only got two stars. Why would anyone get that? Well, for heavy lifting, probably. I was on a mission against zombies. I wasn't sure exactly what I had to do, but knew it would become clear when I reached the combat zone. I arrived, and flew into a building, lightly bumping or just barely missing the ceiling. I flew inside, into the conference hall, realized nothing was there but Z and then flew out. I saw a green beacon. It was a person, being surrounded by zombies, up on a mesa-like patio. I flew in low and tried to hit the zombies. I missed. I swung around and took them out with the second pass. They started following me after the first pass. The glowing green female townsperson, I flew over her and she was rescued. There were two more. I rescued one not far, but time was running out to get the third. 3...2....1...0.021.... I hit pause, as I knew I wouldn't have enough time. I went upstairs to the kitchen and had dinner, mini-cupcakes and beef jerky. My sister gave me hers. I went down stairs and saw that I got a greeting card from Heidi. I ran upstairs to show my mother they actually cared and felt bad. Then when I went back down to open it, it was official-type documentation. It was a form offering me to attend seminars during the summer, and permission to use some of my articles in a contest. I thought about declining, but that'd probably hurt me in the long run. They have no gratitude. And it's one of those things where I don't know why I got fired, so when someone asks, it looks like I'm hiding something."
"025"	"(02/24/08)"	"I was working at the newspaper where I interned. I had gotten there early. But I was tired, and a little hungry. Everyone was there, the vets and all of the young people. Luckily someone brought cupcakes. Both white and chocolate frosting. I ate one vanilla. Then I went for another. Then I realized I was tired. The day was going by slowly. I put my head down on my desk and fell asleep. I thought I had only been passed out for a minute or so, but when I awoke, it was apparent I had been out for some time -- you know, that unknowing guy drooling and snoring in an inappropriate place, while everyone steps over him to do real work. I finally woke up and realized the time. I felt compelled to go out and do something. So, rain coming down, my car still musty from the sunroof incident, I started driving. I drove north, toward the bad part of town, but not quite there. I stopped at my bank to look for a story. Instead, I ended up driving around and then I realized something and needed to go back. The parking lot was a maze. I went around three or four times, cutting through the drive-thru banking center until I finally decided to turn into the bank's outdoor stairway leading inside. My car cleared the teller counters, hit the tile main floor and then I proceeded out the open front doors and down the main steps. I got out of my car, which may have been stuck, and picked up a modern, skinny skateboard. I saw another skateboard on the ground, it looked nice -- I could use it as a backup. But it was missing the front trucks and wheels. I began to try to skateboard. I felt unbalanced, but I got up and was able to cut and turn like I knew what I was doing. Two young skateboard guys were in front of me. They stopped and I fell as I ran into them. They said sorry indirectly. They looked at my board and said they once saw one you could kick and it would come up. I said yeah, a NASH skateboard. Everyone had one back in my day. We continued down the concrete path. They kept getting in my way. One pushed me, and I took a left path toward what doubled as the Reitz/building of the newspaper where I interned. I made the turn down a side path but then veered into the grass. I got up and went into the building. I went into the bathroom, and for some reason I put on a shirt and a thick coat and left my pants behind. I took the elevator up to the newsroom. Then I realized I had no pants on. It was night, so the office was dark. I dashed back into the elevator level. I hoped nobody saw me. I took the elevator back down to the safety of the bathroom. Once inside, I stepped into a stall and started to pee. It was the sort of after-sex pee. The stall door was broken. I was still wearing the heavy ski coat. Then the security guard came in. I ignored him and continued to pee. Then he came in and started watching me, under the guise of fixing the door and keeping watch. I said '""alright, nothing to see here. Everything's fine."" He said ok, ok but didn't move. ""I got angry and said, leave me the fuck alone, let me pee in peace, goddamn it."" He finally moved. I finished and went to the sink. He followed me. I told him to leave me alone. But because he saw I had no pants on and he was a pervert, he stepped close to me and gave me an ultimatum. I nodded, ok, but instead, punched him and grabbed away the gun he was waving around. I also, somehow, had a makeshift grenade. I backed away and pointed the gun at him. It was a big gun -- it was big in my hand, black, with more stylized points than most. Like a slightly smaller desert eagle. I held the gun in my right and the grenade in my left. It was tough holding the grenade so tightly with one hand, so I changed hands. I told him he should have made his move then, and that he's too cowardly to even try anything. He stepped closer and said I wouldn't have shot. He sat down on a stool near the mirrors and laughed at me, said I wouldn't shoot if he made a move. He made a taunting false-move, and I pulled the trigger. The shot hit him in the face, right underneath his right eye. The hole was massive. It could have been a kill shot, but then again, people do survive shots to the face. I look at the gun. It has a clear clip that was so long it stuck out. I had a lot of shots left. I thought, man, I should have shot him in the kneecap or something. But he wasn't dead. He was talking. But burbling, and his right eye was turning bloody and yellow. Then, I decided to kill him. I fired all over his head and face, carefully, but he wasn't dying. Somehow things fast-forwarded to a future documentary. He was old and disfigured, like someone and sewn his face back together with rough stitches and frozen icicles. He was a mad scientist or something, with a secret mechanical lab. Next, I go back to the newsroom. Things get strange. I end up being a killer, contemplating killing a girl every night. I have the gun. And I go out and stalk a girl. I enjoy that more. So I don't do anything. One person is with me. Another wants to be killed. I throw rocks at her till one hits her and she goes down. Another just lays down and decomposes. I throw a rock at her, and hit makes an indent on her ghoulish body, her face is like a snakefish's head. Pointy teeth, round head. The rock unhinges her jaw and it flips up. I put my sandaled foot on it to put it back down. I think this is disgusting, as I got her decomposing flesh on my shoe. Cleaning solvents to fix it."
"026"	"(02/24/08)"	"I argue with a man at a zoo manatee exhibit. He is telling his wife and infant daughter they are carnivorous. I tell him they're not. They eat plants. He tells me, no, they eat meat. I say to him, look, they're eating water lettuce right now. They're larger than the usual kind of manatee. So I could be wrong. But that would be impossible. Look at them, slowly swimming around. He says they could eat fish. And I said to look at how slow they swim. They're like cows. They could be like whales and eat small stuff, but I know that's not true. I walk over to a tour guide and ask what they eat, are they carnivore or herbivorous? She says something about imported pigs, but then I clarify, ""me and this guy are having an argument--do they eat meat or plants. The attractive black woman says ""oh, plants,"" and I prove the guy wrong. She then says, ""It's not like sand people trivia or anything."" The 'comments' on the placard near the manatees has people talking about Star Wars. I flirt with her: ""do they travel in twos or single file?"" ""Are they easily scared, or brave?"" I think of more when I walk away."
