"n"	"date"	"dream"
"0011"	"(2016-09-16)"	"My brother and I are in an airport. We've just returned from a trip. I realize that I've lost my baseball cap. My brother has lost his too. A kind old woman says to me, ""I bet it's under the dresser."" I walk toward the dresser. I say, ""What makes you think that?"" She says, ""You'll see. Just look."" But I'm reluctant to get on my hands and knees."
"0012"	"(2016-09-16)"	"I'm in a room with other Vietnam vets. We're young, in our late 20s or 30s. The plan is to meet here weekly. I'm talking with one of the vets. I say, ""We can share a ride. I'll pay for gas if you have a car."" I don't tell him I don't drive. Another vet, who seems familiar, who is robust and mature, asks about my dog tags, which I'm wearing around my neck. Happily, I tell him, ""I'm wearing them because of today."" The other vet immediately chokes up and turns away. I know enough to refrain from speaking."
"0013"	"(2016-09-18)"	"I'm working in an office and meet a mature girl at a nearby bakery. She's very pretty, friendly and kind. I buy bread from her and forget to leave a tip. Then I do, at first counting out the small change, then giving all the coins to her. ""Just take it all,"" I say. Dave, a best friend since college, meets her. She must choose between him or me. She prefers me. It's because of my fine body, she says. I introduce to the girl to my grandfather. ""This is my grandfather,"" I say, momentarily forgetting his name. He introduces himself. The girl says she likes movies, plays and museums. My grandfather gives her subway directions to New York's theater district. The girl is anxious. I tell her we'll find it. At night, she and I walk down a country road. I tell her I know this road. I know where it leads. I point out its center lines, now faded, barely recognizable, as if paint sprayed from a distance. The scene changes. We're in a pup tent. Something is wrong. The girl complains; the tent is missing stakes, rope and the poles to keep it upright and taut. And there's no ground mat; only the bare earth. And the weather is bad. There is tension. Dave, or whoever gave us the tent, is at fault."
"0014"	"(2016-09-19)"	"Lying on my back, I'm in-between wakefulness and sleep. A large presence is groping me. I'm struggling to ward it off. Then I see it. A large tube-like phallus above me. I have fear. I have dread. [The dream occurs several times.]"
"0015"	"(2016-09-19)"	"It's night. With other men, I'm in a house in a residential area. Each man is stationed at a window. We're waiting to be attacked. We'll shoot them as they attack us."
"0016"	"(2016-09-19)"	"I'm in an enclosed, grim, third world market made of cement. I'm standing in front of a large counter, talking to someone. My mother is nearby. There are several phonographs behind that person, perched high on a shelf. The records play one after the other, hooked up in synch. Even the old time wind up Victrola, whose needle follows the spiral groove. I over hear my mother talking. ""When I was 17, I learned to ride horses. I never thought about sleeping with anyone."" I say to the person behind the counter, ""Yeah, right. Seventeen and never thought about it."" I'm hungry, and buy noodles from a Japanese man wearing a food vendor's cap and uniform. I point to the type I want. He puts a portion in a small porcelain bowl, then pours something on them. At first I think it's sauce, and nearly tell him to stop, then realize it's water to cool the noodles. He hands me the bowl and waits for money. I linger a moment, and instead walk away without paying."
"0017"	"(2016-09-20)"	"I'm in a large bedroom. It's dark and quiet. Someone enters the house. The presence approaches the bedroom door. It's the mother of my friend Frank. She's talking to me. She's very cheerful. I wonder about her sex life."
"0018"	"(2016-09-20)"	"My mother says, ""You never got a B.A., so you never got a good job."" I say, ""You never pushed us (my brother and I) the way other parents did. All you did was offer emotional support. You never taught us to be ambitious."""
"0019"	"(2016-09-20)"	"I'm in a very large and bright hangar where an Army ceremony has taken place. Hundreds of soldiers are present. It's like the hangar at Bien Hoa airport in Vietnam. As if we're in a circus big top, we're told to put our pizza boxes into garbage cans. I wonder where they get the pizza and pop corn when they are traveling. How do they get resupplied? Do they buy massive quantities when they can? They are a large part of the demand for corn crops. After we're dismissed, I ask a familiar looking soldier if I can leave something with him. He says yes. I run to my room for a sweater. A man is digging up the hallway floor, though instead of wood there are long earth-colored tiles. In the room, similar to my last apartment, I grab a sweatshirt from the closet. Back at the hangar, I see a black soldier stealing my .45 and pistol belt. I run after him."
"0020"	"(2016-09-20)"	"In a college or writing workshop, I recognize one of the women attendees and ask her what she's reading. She says a short story by the writer William Joiner. I know this shy pretty woman. She is Charlotte, from 5th grade. I tell her about my crush on her. She is stuck up in her reply. I speak with two other women, a blonde and a brunette. Both are pretty and friendly. Both are married. I'm attracted to them. I talk to the blonde. It's disappointing to hear she's getting married. I ask a familiar looking man to point out or describe her fiancee. He's vague, so I jokingly ask him, ""Well, does he have three eyes?"" and make another remark. He says, ""She's getting married to William Chase."" Waking, I say, ""Well, whoever he is, he's a lucky man."""
"0021"	"(2016-09-21)"	"I'm walking along a country path near homes and old garages. Someone has stashed a key, an engraved silver Zippo lighter, and a small roll of one-dollar bills in dry foliage. I grab the money and hurry along. I don't want to get caught by the persons who put it there."
"0022"	"(2016-09-21)"	"I'm in the country with one or two other men. I've taken the lead. It's winter, and I'm surfing down a long sloping trail on a board or door. It's fun."
"0023"	"(2016-09-21)"	"I'm on my way to the apartment building of a girl I've just met. I see a man I know. He's young, handsome, dark haired, possibly of Indian decent. I tell him, ""I'm going to see if I left my coat at her house."" I tell him that if I find it, we should get together. If not, I'll go home. He cheerfully says, ""Now I feel good,"" or ""That makes me feel good."" I don't understand why he said that. I go to the floor where the girl lives but can't recall her door. I enter an apartment, a bar, and sit on a stool. A stocky man, wearing a suite and tie, with 1950s swept back duck's-ass hair, taps my shoulder. When I get up, he takes my seat. I say, ""I was sitting there,"" but he ignores me. I push him off the seat and he falls to the floor. I say, ""C'mon, let's fight."" Dazed, he stands up, crouches and puts up his fists. This surprises me. Not showing my fear, I say, ""No, no. I don't want to fight. Look, I was sitting there."""
"0024"	"(2016-09-22)"	"I'm in a dimly lit room that holds the spirits of my ancestors. The dominant colors are dark and amber; everything appears in thread-like decay. The spirits are tall vague forms that barely move. I'm paralyzed and filled with fear. The spirit of my maternal grandmother is present. I'm calling to my friend from Vietnam, John N., to help me. I'm calling but I can barely speak his name. My words are unintelligible. Over and over, I struggle to be heard. Am I groaning in my sleep? I see a dark arm bone coming near me. I yell ""John! John!"" louder, faster. Finally, he seems to hear my calls of alarm."
"0025"	"(2016-09-23)"	"I'm walking, and from a distance, see an attractive woman from behind. There is something about the shape of her long brown hair. I wonder who she is and would like to meet her, but feel it will never happen. I walk into a large bedroom that is similar to my childhood home. The woman has been walking behind me. When I turn around, I recognize my friend Joan. From behind, I embrace and hold her, which she allows me to do."
"0026"	"(2016-09-23)"	"I'm walking outside and meet two slender young attractive girls. I begin kissing one; she lets me continue kissing her. Then, on a train, a young man joins us. Now we're on an island clearing the jungle. Everyone is happy. We're building a place to live."
"0027"	"(2016-09-24)"	"It's dark. I'm on an island inhabited by powerful warriors. I escape from them and head to the shoreline. I see two or three dead men staked to the ground under tee pee poles. The warriors are near. I have to make it to the sea. Just as I'm spotted, I lunge into the dark water and swim underwater, thinking, I'll barely outdistance him. The scene changes. I'm on dry land in a suburban town. It's still dark. Fifty or so yards away, one man calls to another. He tells him to be on the lookout for me. He comes close but I avoid detection. Now other people are hunting me. I enter a building that is similar to my grammar school. It's dark inside. I fight with an athletic man. We fight like characters in the movie The Matrix, performing fantastical martial arts moves in mid-air. A state trooper arrives. I see him as he peers around a corner. I see his Smokey the Bear hat. I call to my dog. She's appears at the far end of a hallway. She's hesitant to come to me. I have to escape. The state trooper yells ""Stop! Stop!"" I yell back, ""I want my dog. I want my dog."""
"0028"	"(2016-09-25)"	"I'm in a room with three women competing in a yoga competition. One woman acts as a judge. It's clear that one of the two other women has superior shape and form and will win the contest."
"0029"	"(2016-09-25)"	"I'm a passenger in a car driven by a very ugly black man. He's making conversation. Periodically I say, ""Yeah."" At one point he turns to me and says, ""Stop saying 'yeah.' "" He says it easily. It's what he thinks and feels. I'm reminded of a similar experience at work. I'm a little angry at the black man, a little embarrassed. I want to ask ""Why?"" but consider that I'm over reacting, and that he's likely right."
"0030"	"(2016-09-26)"	"In a barn or bunkhouse that is dark and dimly lit. There's sexual tension between an older man and his wife. Few words are spoken. Where he is urgent, she is struggling. Neither the man nor the woman is attractive. She begins taking off her necklace, slowly undoing the clasp. The necklace itself is nearly invisible, as though it were made of fish line monofilament. It's as if I'm watching her from behind, as if others are watching her, and the woman knows it. Now the couple is in a dark lit restaurant. The woman, wearing a full-length evening gown, has arranged her hair in a French bun. They, though especially the woman, are welcomed by a dozen or so seated diners. It's like a Broadway musical: they are formally dressed, loud and boisterous, extending their hands in theatric sincerity. Only the seated persons are smiling. Their arch enthusiasm discomforts the woman. She is bewildered, distraught."
"0031"	"(2016-09-26)"	"I'm in an upscale clothing store. The clothing is displayed on racks, and in bookcase-like cubbyholes. There are many items on shelves in grocery store-like aisles. Four men wearing tan shirts, dark pants and Sherlock Holmes hats arrive. They appear to be brothers, each with a distinct personality. The store becomes crowded. I'm in an aisle next to an athletic Hispanic man. Just as I turn, he turns into me. I see this as an act of aggression and push him away. One of us says, ""What are you doing, man?"" Then we are both trying to keep calm. He's somewhat younger. He doesn't know I'm much older than I look. He talks about a man who kept trying to cheat the store out of a discount. On the third time, he was caught. The Hispanic man makes a good will remark and at that moment I shake his hand, then walk away. The Hispanic man is puzzled, unhappy at how things ended."
"0032"	"(2016-09-28)"	"I have to execute a man by decapitating him with a knife. I put the blade to his throat but the flesh and bone are tough and the cutting is slow. The man groans in agony. I am the one causing his suffering. Someone else witnesses the awful event."
"0033"	"(2016-09-28)"	"With other people, perhaps a family, I'm on a large pyramid shaped sofa. We're playing a game. I'm being asked questions. At my turn, I make sexual puns about someone else on the sofa. But a young boy can't take it. Instead of laughing, he is sullen."
"0034"	"(2016-09-28)"	"My mother helps me to move. She's driving her big beige car from 1962. A double-parked black car is blocking her from parking next to the curb. She calls to the driver, ""Excuse me, 'hon. Can you move?"" The driver, a friendly youthful looking man with a 1950s haircut, agrees, but my mother inches past and parks. We begin unloading the trunk. My belongings are in plastic grocery bags. My mother wants to join me. I say, ""No, wait here with the stuff."" I enter an elevator with an elderly couple and a maintenance man who is re-painting the elevator. I look for the number two elevator button but can't find it. The elderly woman talks to her husband in a New York accent; it's very familiar. Where have I heard it before? ""Two,"" she says, and I search but can't find it. She pushes the button, which is obscured by old paint. During the ride up, I say nothing. Everyone exits on the second floor. I look out a hallway window. The grim urban view has a rustic quality. I say to myself, ""I like that."" I have the silver key ready, but my apartment door is opened by the elderly couple. I can see that it's warm and friendly inside. Just as they welcome me in, an activist student, Lisa, arrives. I put the key in my mouth in order to shake her hand. I recognize the woman's accent when I see her husband. ""Come in, come in,"" he's says. It's the American historian Howard Zinn. He hugs me. I kiss him. ""Its so good,"" I say."
"0035"	"(2016-09-29)"	"I'm in a beautiful landscape. A child's fantasy of armored knights in battle. Two knights on immense horses swing swords, one clearly outdoing the other. I witness a skilled knight who rides to the rescue of the man being defeated. The large swords swing and clash. When the rescuing knight is about to deliver the coup de grace, I turn to the physician Susan G, who is dressed as a princess, and say, ""He's about to do a podcast."" She compliments me for a witty joke or phrase I did not make. It's so modern, so witty, she says. In that moment I decide to let the oversight pass."
"0036"	"(2016-09-29)"	"I'm sitting at a table with a black woman who resembles my own mother. She wants to sell me collectible pennies. She has never done this before. I'm patient with her. She's too thorough, almost protective, and will not let me inspect the coins. I tell her this is not how it's done. I tell her the first principle of business is to inspect what's on offer. We settle on the price. She has fifty coins and will charge me two dollars. She reaches into her purse and nonchalantly places a packet of tampons on the table. Inwardly I try to calculate the math but am confused. We go back and forth. I realize I'm obsessing over a small sum of money. Waking I say, ""It's not a lot of money,"" and will pay her."
"0037"	"(2016-09-29)"	"I'm at the AMC movie theater in the nearby big city. The theater auditorium is dark and empty. It's closed and I'm trapped inside. There's a man on a tall ladder in front of the blank screen. I call to him, ""Staff...staff..."" but he does not answer. I walk out of the theater and into the main corridor, where hundreds of people sit at tables or mill about. I have to be somewhere and hurry so I won't be late."
"0038"	"(2016-09-30)"	"I'm in a college dorm room. There's a party going on. The lights are out. There are soap bubbles everywhere. Police detectives arrive. One of them grabs my arm. I ask him, ""What's going on?"" It's hard to hear him over the music and noise. They're arresting us. In the darkness a cop punches me in the stomach. I imagine not feeling pain. I imagine saying in a mocking voice, ""What was that, man?"" and goad him to hit me again. I imagine pulling him to the ground and taking his weapon."
"0039"	"(2016-09-30)"	"It's night. My brother and I, both young, are sleeping in the bedroom at the apartment I lived in from 1964 to 1969, I'm groaning in my sleep. Suddenly I let out a ferocious scream. My brother comes to my bedside and wakes me. I tell him I'm having a bad dream. He says, ""I'll say."" It's raining outside. The windows are shut but the wind enters through the drafty gaps and rattles the room. I tell my brother it's raining really hard. He says he's glad he brought his sweatshirt inside. One of his little toes is unusually long, like a finger, and nearly broken in half."
"0040"	"(2016-09-30)"	"I'm in a crowded classroom. The venerable teacher asks us the meaning of the word ""shostakopus."" A nearby student has a dictionary. I want to answer but he reads it first. The definition is academic, not what I anticipated. A different word, illustrated with a houseplant that I like, catches my eye. The two sentence spiritual meaning is similar to that of a Sanskrit phrase."
"0041"	"(2016-10-01)"	"It's windy. I'm climbing in an open pit mine of gray white stone that is similar to granite. White dust fills the air. I climb over the terraced ledges to a Spanish-like plaza where there is shelter from the wind and a place to eat. I sit at a table with a young boy and an old woman. When they leave I realize they've stolen my daypack and baseball cap. The pack contains nothing of value, but it's mine. I can't believe they've stolen it. I run after them. Then I lean forward and fly. I'm about ten feet off the ground, flying down a blacktop country road that winds through a wide-open town. I fly past shops, past a few people on the road, past a woman on a bicycle, past a large store selling plants and flowers. Has my pack been stolen, or is this a dream?"
"0042"	"(2016-10-01)"	"I'm a member of an Army unit stationed on snowy mountains in a foreign land with soldiers who are not Americans. We're not in danger, just waiting to move out. I walk around and say hello to a few men I know. A very large man wants to grapple. Soldiers gather to watch as I use Judo to steadily dominate and out maneuver my opponent. I throw and push and pin him down but he won't give up. A beautiful Weimaraner runs by. Then a different dog. I want to watch them. I tell the larger man I want to stop."
"0043"	"(2016-10-01)"	"I'm young and in a crowded classroom of Russian schoolboys. We're annotating books for purposes of espionage and propaganda. Everyone watches as the teacher shows us how to jot down notes in an organized manner. Then we sing a Russian song. I don't speak the language so I try to lip synch the words by watching how the boys move their mouths. A boy next to me watches to make sure I'm singing. The teacher too. Everyone sings with enthusiasm."
"0044"	"(2016-10-02)"	"I'm seated at a table at a popular restaurant near where I sent to college, flossing my teeth. Two girls seated across from me think I'm staring at them because I'm flossing my teeth, but I'm not interested in them. In walks Larry M, a high school pal. His once thick and wavy blonde hair is thin and white. We make eye contact and he walks to my table. I stand up. Larry asks, ""Aren't you from Resort Town,"" where I lived in 1969. I say I lived there but only one year. Larry recalls one or two other details about me. I want to embrace him but he hasn't changed. He is still strident, macho, stoic."
"0045"	"(2016-10-03)"	"I'm in my old house on Highland Place. Outside, it's raining hard. After the storm, I enter the bathroom to find that one window has a chipped corner, the window screens have been blown out; the room is wrecked. I go to the backyard to retrieve the screens and reinstall them. My mother joins me. To hook the oblong screens on prongs at the top of the window casement requires skill. When my mother succeeds, she says, ""I did it!"" in her hapless way. I tell her the windows are old. I tell her the landlord should replace them. I tell her she doesn't know the law, and mention the law of habitability. My mother doesn't want to hear about it. She doesn't want the trouble. I wake up saying, ""They really should be replaced."""
"0046"	"(2016-10-04)"	"It's a bright sunny day. As an adult, I'm attending a ceremony on a grassy hill at my grammar school. I'm wearing a jacket and tie and talking with a friend. A casually dressed obese young man with long frizzy hair approaches me. ""This is for you,"" he says. He hands me a two-foot strand of thickly woven cord, one end of which is unraveling. I put on my sunglasses. It's time to say the Pledge of Allegiance. I will stand without reciting the words or placing my hand over my heart. I'm thinking, if anyone asks or bothers me I'll say, ""I know what war is and none of this is true."" Afterward, as the frizzy haired man and I walk across a hilly lawn, he asks, ""Why do you have so many banks?"" I say, ""How do you know?"" He says, ""I just know."" I say, ""I have four banks. So what?"" We enter the school and walk to a room near a staircase. The frizzy haired man hands me a textbook. ""This is for Miss Tonner's class,"" he says. He makes sure it's the right book, the right class. There is something about the books texture and heft; its grim bulky cover which resembles a film negative. I don't want it, but to avoid conflict, I say nothing. Back on the lawn, I tell my friend about the question I was asked. I wake up saying, ""I have four banks. So what?"""
"0047"	"(2016-10-05)"	"I'm a priest in a basement church. After leading a religious ceremony, I walk quietly up the aisles, touching the outstretched hands of the parishioners, who are mostly older, poor and black. I've put Dr. Wood's Soap on my hands. I'm telling the people it's holy soap. I feel uplifted. The people need me."
"0048"	"(2016-10-06)"	"I'm in a large but cozy room with several people and several beds. I'm talking to a young boy who resembles Mark P from Elk Grove Camp in the early 60s. Naked, he's kneeling on the bed. He's calm, confident. I ask him many questions about how he falls asleep: Do you lie on your left side or your right? Do you put your hand under the pillow? Do you lie on your back, then roll on your side? The questions arrive one after another; each rings poetic. Unexpectedly, I notice his female breasts. Calmly, he says 'no' to all my questions. When he lays down, he falls right to sleep. Playfully, I say, ""I don't believe you,"" but regret the remark, which is overheard by a woman in an opaque nightgown sitting near me."
"0049"	"(2016-10-07)"	"I'm in an American Midwest desert. There are one or two familiar people scattered about. In the midday heat, the sun and sand make the desolate landscape intensely bright. From a distance, I walk past a woman who resembles the actress Faye Dunaway. Draped in white, or covered in white dust, she is seated on the ground and seems part of the bleak landscape. Her eyes, rimmed in black, stand out, making her strange. As I walk near her, Faye Dunaway asks, ""Where are you going?"" She asks other questions. It's as if we're flirting. The others listen. In playful jest I say, ""To a synagogue."" She replies, ""Are you really?"" Instead of saying ""Does a bear shit in the woods?"" I say, ""Does a fish have fins?"""
"0050"	"(2016-10-07)"	"I'm young. With my dog, I'm part of a small group walking a country trail. We pass a group of people. Far in the distance I see my former girlfriend Karen. I want to be with her but we have to keep moving. I wave to her regretfully. Does she understand? As we walk, a man leads a reluctantly trotting pony with rope tethered around its body. There's been a car accident. Many possessions are lined up on the side of the trail. Concerned men stand about. We keep moving and, finally arrive at a large one-story house with white adobe walls and dirt floors. It's more like a barn or large hut. Inside, I talk with Lewis, the younger brother of a college best friend. I say, ""It's pretty simple here. Almost like a college dorm."" Lewis says, ""Yeah, I guess so."" I don't like this place. It's too casual. I want order. I want things to be orderly and clean. I'll have to get used to this. My dog runs through the house. She's playful yet nervous. There's a small pile of pot on Lewis's bed. She runs over the pot, disturbing it. She drinks water. I ask Lewis if he can deal with the dog. I tell him she's my dog. I wake up talking."
"0051"	"(2016-10-09)"	"I'm in a darkened bedroom with my brother. We're sleeping several yards apart. I pull the covers around my head. A person or presence begins to grope and prod me. I'm terrified and call out to my brother, ""Donald... Donald... Donald."" He hears me. He knows what's happening but he does not get up to help. I wake up fearful and groaning."
"0052"	"(2016-10-09)"	"I'm a silent witness to two plays performed by a white man and a flat-chested Asian woman. In the first, they are seated at a table in a small room, expressing their mutual love. There is tension. The woman suddenly doubts the man loves her. The man is bewildered. It becomes clear the couple is mentally unstable. In a graveyard, the woman doubles up in pain. She thinks she is pregnant. A short, husky, curly-haired man wearing a white shirt says she needs a ten second surgery. After the play ends I remark that the dialogue and acting in the second play were poor. I wake up mumbling how the first play was so much better."
"0053"	"(2016-10-10)"	"I'm in a field, a firing range. The ground is ravaged, torn, ripped apart. There's an explosive charge that I want to detonate. Its texture is like the thick crust of pizza. I set the timer, then crawl into a large metal or cement pipe. The warning sound, a tocsin like that of a submarine about to dive, fills the air. Nothing happens. Should I crawl out and reset the timer? Am I far enough away? Suddenly, a tremendous blast. I feel the shock waves rip across my body. The explosion blows apart the pipe. Shock waves or shrapnel impact my body. How bad am I hit? Terrified, I startle awake."
"0054"	"(2016-10-10)"	"I'm walking in a place similar to New York's Central Park. I see two little girls, one wears a square-cut Central American blouse. I feel a kinship to her. Where did she obtain the beautiful vest? We talk. The older girl is antagonistic. I tease her playfully; she remains sullen."
"0055"	"(2016-10-10)"	"I'm on a crowded airplane with my former girlfriend Karen and her friend Johanna. A stewardess demonstrates a breathing device. A red-headed man has his own apparatus, which resembles a water pipe. He puts one or two tablets into the water-filled plastic bottle and inhales. I tell Karen and Johanna, ""Watch this. He's going to pass out for a second."" The stewardess hands me the bottle. It's necessary to inhale deeply before using it. I inhale the vapor, choke, stop, and return the bottle to the stewardess. ""I just can't,"" I say, and wake up gasping."
"0056"	"(2016-10-10)"	"I'm in a college dorm with men I know. They are rowdy, nonintellectual. One man exits, then returns with a holstered .356 Magnum. I ask him if that makes him feel better. Another man offers me cocaine. I say, ""No, I don't want Mr. Cocaine. I don't want it."""
"0057"	"(2016-10-10)"	"I'm with Jimmy, my maternal grandparents' porter, in his basement apartment. It's grim here, the essence of poverty. A plywood door hangs off its hinge. The floors are cement. Jimmy wants to make something out of wood and asks for my help. His friend is skeptical. Jimmy hands me a long thin piece of wood set in a tubular black metal mold. At the same time, he discretely hands me a chocolate chip cookie."
"0058"	"(2016-10-11)"	"I'm on a beautiful tropical island with my brother and Melinda, a Honduran woman I traveled with in 1992. It's warm and sunny. Melinda is swimming in the aqua blue splashing surf. Does she know how lucky she is? The island will change when it becomes a resort."
"0059"	"(2016-10-11)"	"I'm walking down a city boulevard. A man and woman, balancing their son on their shoulders, block my way, but I walk past them. I'm riding a bicycle down the same street, which leads to a shabby area, much like New York City's 14th Street in the 80s. A young Spanish girl standing on the corner eats a sandwich. A pit bull lingers in front of her, hoping for scraps. But the girl is a lure. Two young Hispanic men try to rob me. I shoot them, grab the girl, hop on the bike and ride away. I will rape her. She does not resist."
"0060"	"(2016-10-12)"	"On a clear dark night, with a crowd gathering, I'm standing at the corner of two prominent streets. The mood is festive. The people are excited. But at any moment a loud explosion will occur; a war will begin. The young person I'm standing with asks me many questions. Do I like this? Do I like that? What was that sound? That smell, which has the fragrance of banana cinnamon? I wonder when the explosion will blow up the night."
