"n"	"date"	"dream"
"1950-015"	"n/a"	"#1950-015 Going upstairs in a long blue velvet veil, a bridal veil, made up of curtains back from the cleaners. I am being teased about getting married in such an outfit. I say, ""Well I'd do it for my second marriage, since I couldn't wear white."" Shift: It is raining. Kids playing in a garden. I see Marita caught in a fierce torrent of a mill stream, am barely able to rescue her."
"1950-016"	"n/a"	"#1950-016 There is war but we are in the Hills in a motel that is 'safe.' I am looking down toward the water and see a bomb land but it does not explode! I see Edward crawl through sewer pipes to figure out scheme to defuse the bombs. Suddenly a brilliant flash. An A-bomb explosion where he set it off. But I am safe with my brother, crouching on a bed of pine needles. Aghast that Edward did that, but not that he is dead. We all celebrate that we are safe. Shift: Edward reappears. I have a feeling of shock and guilty knowledge. Everyone is asking ""Who did it?' Edward is handed a piece of paper with hieroglyphics that are a code for the detonation. He airily pretends that it is just a doodle and that he did not do it."
"1950-017"	"(11/3/50)"	"#1950-017 (11/3/50) We go exploring the ""gold coast"" that the US has acquired along the ocean front. I go into the water and swim upstream but it is too difficult. Ride in a boat with interesting men. Then on the way back I swim down stream with the current. easy, wonderful feeling! Later see the mountains covered with snow with the sun shining on them. Also see Half Dome and other mountains from Yosemite."
"1950-018"	"n/a"	"#1950-018 Wild ride in a car along ocean and thru tunnels. At end of a long tunnel the car ends on a stone landing and almost careens into the water. We were able to stop in time! Shift: Sitting in a cafe next to an old windmill which was slowly rotating, the implication being that I should learn from it to slow down."
"1950-019"	"n/a"	"#1950-019 With woman analyst in C. City (Amanda Feingold). I forgot my dreams and rush out and take the car to go home to find my dreams; return and ask her which dream first? She then uses an elaborate ritual with incantations, playing cards, silken threads to decide which dream to select. Finally she puts one pile on the right over the thread, and another on the table to her left. But in the end she wants me to decide which one to read. I say I know the content by the shape of the paper. Shift: Pick up a toy bear and find it comes apart into shining silk threads."
"1950-020"	"(12/15/50)"	"#1950-020 (12/15/50) Riding on a train with Edward, along the ocean, many bays and much snow. Danger and shooting. We go out and have to walk in deep snow and mud. Feeling of fear and uneasiness. Shift: I am driving in an open car to California. I get out on top of a hill. Need no coat or boots. Free feeling--sense warm air around my face and arms. Very very happy. Shift: With S. L. (musician, new acquaintance). He is explaining an obscure discrepancy of melody in a Beethoven piece. We get into bed although I protest a bit. I am cleaning away some leftover peas and carrots (green and orange); feeling of anticipation and some guilt."
"1950-021"	"(12/50)"	"#1950-021 (12/50) Atomic explosion in C. City (where I see my analyst). There is not too much panic since city has a 'life belt' surrounding it; but I am determined to leave for California and look around for a second hand car. Pick out eight old jalopies and make out checks for all of them! But as I wave my bundle of checks at the old man selling the cars, I realize how foolish it is to buy all this junk. Finally, I buy a new car and take off with Marita to California. When I arrive there is a convention and it is warm. I am so happy feeling the air and no coat."
"1950-022"	"(12/50)"	"#1950-022 (12/50) L.Z. (analyst). We are at a big wild party and I see L.Z. dressed as a fisherman. Large slouch hat, red/black striped t-shirt. He is standing at the counter. Then we kiss and he holds me very close. Later talk with him in the corridor. He compliments me: ""You have beautiful hair."" And I say, ""You don't look so bad yourself. Better than in the office."""
"1950-023"	"(12/25/50)"	"#1950-023 (12/25/50) I am pregnant; feel pressure. Baby due any minute. Call doctor. Believe it is coming out feet first but I only have a large bowel movement. Doctor laughs. Leaves."
"1950-024"	"(12/26/50)"	"#1950-024 (12/26/50) I am at the University, walking through tunnels, underground catacombs. All students have to go through them, sort of a safety measure. I come out to a class in French drama and sit very high up, looking down where I see a French woman actress; I want to be like her. After class I meet a woman friend who thanks me for being such a good friend."
"1950-025"	"(12/50)"	"#1950-025 (12/50) With Zoe (old friend) and her mother at their house in Vienna; I leave and return on skis, after skiing over rocks with cracks on rough terrain. I arrive safely and enter through the back door. Edward is there too. Awakens and then they all serve me tea. I embrace Zoe and Edward threatens to call police because of rumors that they used female corpses (for what purpose? not clear in dream)."
"1950-026"	"n/a"	"#1950-026 At an audition for a fashion show, I just sit and not sure whether I get an audition. Somehow I get the manager's special attention. We walk together arm in arm. He is very impressed both by my intellectual capacities and my femininity. We sort of glide through the halls. Does he want to make love to me? (he is not anyone I knew)"
"1951-001"	"(1950s)"	"#1951-001 (1950s) I go to see my analyst (Smith) and he is alone in his office; I go up and kiss him and we embrace. We both feel a bit guilty and promise never to tell anybody about this although we only kissed. Upon reaching home, Marita is alone and crying desperately. I comfort her."
"1951-002"	"(1950s)"	"#1951-002 (1950s) After the analytic hour with my analyst (Smith) we embrace and kiss and he asks me for a date at his place. I drive up later in my own car. He lives in a castle, guarded by livred footmen and is the equivalent of a ""king."" I have a pass to go into the castle. A large auditorium-like room. W. looks like Dionysius, holding a glass of wine, full of enjoyment of life. We sit down at a table in a dimly lit night club and talk and sip drinks. A friend of W. comes by and slaps me on the back, as if to say, ""Quite an achievement gal."""
"1951-003"	"(1950s)"	"#1951-003 (1950s) I am getting ready to move into Smith's apartment which he had rented to B. (a fellow research student). I go over to the apartment and look it over. It has pools of water, frogs, odd shaped rooms, partitions and many oriental carved art objects made of wood. They belong to the apartment. Smith introduces me to a woman he is walking with and I wonder what she's got that she can be so friendly with him? But then Smith takes me by the waist and we walk down together. He must leave, but later he calls on the telephone and there is a lot of noise. ""What about that guy Boris?"" And I realize that he is jealous. He says I want to see you before our next appointment. ""I want to see you to -- love."" I can hardly hear him for the terrific noise in the phone. I ask ""when?"" and I believe he says, ""tonite."" Very happy."
"1951-004"	"(2/1/51)"	"#1951-004 (2/1/51) I am with an older, 'lecherous-looking' Freudian analyst who wants me to lie on the couch and recall the moment of my birth while he counts 1, 2, 3. I pretend and then tell him the truth. Then he gets undressed and wants to make love to me but just then mother looks in by the door! And I lie very still; she closes the door. I awaken. (Then I remember wishing that I were still with my analyst.)"
"1951-005"	"(2/4/51)"	"#1951-005 (2/4/51) I live in a pension while looking for a house to live in. See large planes on the ice in the lake. My C. City analyst Dr. Feingold comes to see me, speaks German. I apologize for my mess and then we start the hour. Relieved to see her again. Shift: With Edward and Marita. Controversy about Edward wanting to marry a crippled girl who I think is not at all his type; I try to persuade him not to do this; then we walk hand in hand while watching large air ships and steamers in the harbor."
"1951-006"	"(2/5/51)"	"#1951-006 (2/5/51) A large playground in a park with aeroplanes landing on it as well. Edward, Marita and I are near a castle but suddenly there is a gas explosion. I run to a ramp where I can see everyone pass by. Lots of people rushing but no panic. Edward reaches me and we agree where to meet in the future. At one point see an aeroplane land and unable to stop so people scurrying away in big hurry. No one is hurt."
"1951-007"	"(2/9/51)"	"#1951-007 (2/9/51) A large ball for debutantes. I wear a long silk black dress with jewelry around my neck and with a fancy hairdo. But I am not interested in men. Finally see Denise (old girl friend from Vienna). I dance off with Denise, cheek to cheek, gliding over the floor on into the country side. Happy."
"1951-008"	"(1/5/51)"	"#1951-008 (1/5/51) I feel stifled in our apartment and want to transform it. See a round cardboard with tiny hole in the middle. I say ""That is all I can see of the outside world!"" Shift: I am about to give my baby boy up for adoption so I can be free to educate mothers. I give him to a woman but worried if she knows how to bring him up. Ask if she has read Spock? I am determined that she bring him up well so go out to buy a copy of Spock. Earlier was aghast when she picks him up and he screams."
"1951-009"	"(1/12/51)"	"#1951-009 (1/12/51) Walking in deep mud and water puddles. Then riding a train. See people living in a trailer and think it is much cheaper and more comfortable."
"1951-010"	"(1/26/51)"	"#1951-010 (1/26/51) I am looking for a new apartment. See this incredible bed. It has pockets for bed clothes. On either side letter boxes, ash tray, book pocket, magazine rack, etc. Also is collapsible and adjustable to any size. Shift: go swimming in large swimming pool. Don't worry because it is my day off. See a young doctor (?) who asks if I read German as he just read an interesting article in a German medical journal. He asks if I can translate it. Yes I am delighted. Then embrace with Edward who was standing just behind the doctor."
"1951-011"	"(2/51)"	"#1951-011 (2/51) I call L. (college friend). Ask her about getting me an apartment as I am taking trip back to B. City. Arrive to find big mess. Many paintings helter skelter and L. brings down some art treasures. I ask about our upstairs neighbor but he is away skiing. I want to stay so badly but must return to U. Town. I find a nasty landlady who read part of my letter about my upstairs neighbor. I make up a story to satisfy her. Scared and mad."
"1951-012"	"(2/51)"	"#1951-012 (2/51) I am stuck in the snow up in the mountains, on a glacier. I am totally lost but eventually get out. Shift: In a class where everyone rejects me, but I look out the window to see a bright green field with a white spotlight on it."
"1951-013"	"(2/24/51)"	"#1951-013 (2/24/51) I am riding a bicycle over deep ruts in heavy traffic, very dangerous. We are living in a small apartment without a sink. I see Edward and Marita in the bathtub; sexual play. I say it is disgusting. Shift: We are riding on a ferry. I am with M. (old lover) and his pregnant wife. Excited by M's presence. But we have no privacy and Edward comes in and I realize I have a husband and a child. Feel lost."
"1951-014"	"(2/51)"	"#1951-014 (2/51) I am riding through a large, strange town looking for a new therapist. I get to see a pleasant man who was recommended and wait while he sees a little boy. Also go to see a woman therapist who is very stern, not pleasant. I want to return to the man and three times open the door and stick my head inside while he is with another patient. Finally I get to tell him my story while he reads the summary that Smith had sent him. (Vivid image of name ""Smith"" on letterhead)."
"1951-015"	"(3/3/51)"	"#1951-015 (3/3/51) I meet our L. City neighbor who offers to rent me their house which is two houses next to ours. I am thrilled because it is very large and has extra bathroom. But on way to look at it, road is blocked by huge boulders and lava comes bubbling from the hill. I barely make it inside the hosue. See muddy water rising from the gutter. Scared. I explore the house and find a gorgeous upstairs room in the shape of an oval with lots of windows! I imagine this as my own workroom, with an easel, typewriter, books and a crib! Very happy but outside I see huge boulders rumbling down and crushing people. Fear. Then water subsides and I start to take care of their son."
"1951-016"	"(3/4/51)"	"#1951-016 (3/4/51) I am with my friends; M. and his wife in a basement apartment; There is an air raid alarm but we laugh and joke. No fear. M. reads a sexy poem from a book in Latin or Greek. His wife goes to bed. He is sitting at my feet. I look out and see bright shiny fire engines being wheeled into place. Still no fear. Happy."
"1951-017"	"(3/10/51)"	"#1951-017 (3/10/51) Edward talks long distance with M's wife but does not tell her that I am coming out to B. City. Mad at him. Then the old cheap hotel is transformed into a beautiful modern place with light colors and large windows. Shift: party at a hotel room where I see all the old B. City crowd, especially L.Z. (my other analyst). Sense of warmth and friendship. Moment of complete happiness as we talk in a corner. Then he must leave and I have to get on a plane. Shift: back in B. City where there is a heavy rain and I get terribly wet. I meet old grad students and friends at our old house. Then I walk to see my analyst, Dr. Smith, but feel very self conscious wearing shorts, blouse hanging out, long sheer stockings and high heels. Very inappropriately dressed and also dragging a blanket through the rain. Shift: At a party my C. City analyst Dr. Feingold appears, beautiful with silver hair wearing gorgeous gown, smiling, while I crouch under my blanket. ""Now let us really get to work"" after some delay."
"1951-018"	"(3/16/51)"	"#1951-018 (3/16/51) I am flying to L. City in a small plane and see a huge plane landing with nose straight down, almost crashing, but then sitting down gently. Shift: I am walking through corridors with huge movie ads; like a maze. We land in L. City and there is snow on the trees! but not in the street. I walk barefoot through the snow, carrying a paper briefcase. I keep losing things. There is no one to meet us (Marita and me). Finally, father appears and drives us home in a makeshift wooden cart with a small motor. We arrive home to find it terribly devastated. I am appalled. Don't recognize the place. Incredible mess--empty walls, clothes bulging out of closets, dirty unmade beds, cigarette smoke in the air, empty glasses and bottles. Father is lying in a stupor near the back door with his coat on, looks like a drunk. I realize it is up to me to fix up the place again and to throw out the slovenly tenants. If I want to live there, I must start from scratch!"
"1951-019"	"(3/26/51)"	"#1951-019 (3/26/51) I feel a snake bite on my wrist. Two tiny bumps where the teeth had dug in. I think to myself that letting the snake bite me is part of the ritual of endurance in order to merit the love of my lovers."
"1951-020"	"(3/27/51)"	"#1951-020 (3/27/51) In an airplane, being catapulted into the air very steep ascent; someone who does not know how to fly a plane; rough weather, but land safely. Shift: I am invited by some people I do not know very well who live in a very beautiful modern home. I start to tell them of my conflicts and ambivalence between intellectual life and feminine life, but talk of something else; ""I will tell you all this when I know you better."""
"1951-021"	"(4/2/51)"	"#1951-021 (4/2/51) I see a patch of bright, deep green grass, velvet-like to touch, very pleasant. Shift: Party with M. and his wife. I proposition M. for old times sake, but he would rather talk and he wasn't serious."
"1951-022"	"(4/3/51)"	"#1951-022 (4/3/51) I see a flood rise and spill over the banks. I visit a friend but have left Marita at home. She calls on the phone and seems very adult. I take the car to pick her up. Have to cope with the flood."
"1951-023"	"(4/4/51)"	"#1951-023 (4/4/51) Invited to J. and his wife in B. City. (J. had been my lover before I left). Party with lots of people. J. comes to say goodbye to travel to the mountains for a few days. He puts on his hat and comes over and kisses me warmly on the mouth. I nearly faint. Then I go out to the car where he is standing and I run over to him, trembling: ""So who had tears in their eyes? Go on, adore me, but for God's sake don't show it."" Then under his breath: ""I'll be back. This is a maneuver. We will manage somehow to get together."" See green leaves on lawn."
"1951-024"	"(4/7/51)"	"#1951-024 (4/7/51) I go back to B. City to see Dr. Smith. Many changes. I hear he is being transferred to St. Maxon. Much confusion, but despite all difficulties I manage to see Dr. Smith. Wonderful hour. Feel more equal to him now. Later I ask him: ""Don't you think I should come out tomorrow?"" He says: ""Yes, I think you should"" and I repeat, smiling, ""Yes, I think I should too."" Shift: RR station near St. Maxon surrounded by hills. I am driving along and see my former upstairs neighbor. Happy to see him. We walk arm and arm and I feel he still loves me. He asks if I want to go along skiing with him. Very happy. I remark, ""We're now living in the Schlegel house."" (Note: Schlegels = friends from Vienna who were very wealthy)"
"1951-025"	"(4/13/51)"	"#1951-025 (4/13/51) There is a big fire in town - L. City. I am living in a wooden building with Edward. Very scared. He is very nonchalant and won't help me pack so that I can return to B. City to our old place. I have to do it all by myself. Arrive in B. City, see our upstairs neighbor who is cool towards me but later feel more accepted."
"1951-026"	"(4/15/51)"	"#1951-026 (4/15/51) I am in B. City. It is both snowing and sunny but I don't mind. Need to walk across RR tracks to reach the analyst's office. See L.Z. (my other analyst). Am greeted most warmly. Kiss. Feeling of complete inner happiness. Feeling of oneness, realize it is myself I have found."
"1951-027"	"(5/10/51)"	"#1951-027 (5/10/51) With M. and his wife at their home. She has to go to work. After she leaves we make love (like in the old days) then, suddenly, I look out the window and see his wife return. Panic and guilt. Try to find my clothes and manage to get back to the living room nonchalantly. She doesn't suspect anything."
"1951-028"	"(5/11/51)"	"#1951-028 (5/11/51) Dr. Smith is in a large house with hallways and dark rooms. He comes to the office carrying a little case like a doctor. Smith has laryngitis. I say, ""I realize that you are not feeling well, therefore I won't have to see you."" He smiles and is pleased to make another appointment."
"1951-029"	"(5/51)"	"#1951-029 (5/51) Bus ride into the mountains beyond the city limits. I have no money and we are on the wrong bus. The bus driver says he will pay for me if I let him kiss me. I agree. Shift: Frank and I in a hotel room. I am dancing on tip toe. See an elderly man carrying a bag (Dr. Smith?) and he says he will give me money if I let him sleep with me. I agree. He then gives me $15. I am very happy. Frank understands and we laugh."
"1951-030"	"(5/51)"	"#1951-030 (5/51) I am in Dr. Feingold's office in C. City and ask her to write a note to Dr. Smith in B. City to tell him that I did not ""run away."" ""Why?"" she asks. ""I want it for later."" She has to go out and I remember writing her a note with a large pencil with a square eraser. I see a small silver mirror on the wall above me. I have a feeling of missing her and wish I could be back in analysis with her. I leave the office with Frank."
"1951-031"	"(5/51)"	"#1951-031 (5/51) Visit to Dave, our upstairs neighbor. Several people in the room with us. A ""farm boy"" (Frank) stands next to me at my left. Pleasant talk but nothing special happens."
"1951-032"	"(5/51)"	"#1951-032 (5/51) I run in and out as we are at a party. J. (husband of a friend, with whom I had had an affair) is there and we have a few minutes alone together. I tell him how much I had missed him and after a while he confeses he dreams of me often. We kiss. Shift: near the ocean. Marita is diving. Proud of her ability to dive but once she goes down and doesn't come up. I have to rescue her."
"1951-033"	"(5/51)"	"#1951-033 (5/51) At a resort. Again with J. and able to go upstairs to his room. Wild embrace. He cries. Then we collect ourselves and go downstairs together. See my friend Lucinda (college friend). She tells me she is in love with another man. I tell her about J. and encourage her to go ahead and enjoy it. Shift: I go with Lucinda to her place for supper. Have to sit in a narrow booth-like place next to the crib of her second child. Funny looking baby. At three months he asks to be turned around. But he has colic and nothing works. I notice that he has two breasts shaped like two penises! I hypothesize that it is due to a hormonal imbalance. We finally finish our meal, but I realize that I have left Marita at home. Panic. I rush to my car but after a stretch the car breaks down. I am desperate. No money. Run as fast as I can. Try to hitchhike, no help. Try to telephone but can't dial. Remember how frantic I was as a child alone at home. Perspire as I run against time! Finally I hail a taxi. Tell the driver I will pay at home as I have no money with me. Reach home out of breath. Marita, with tear-stained face, is wandering aimlessly about. She falls into my arms and sobs. I promise never to leave her so long again."
"1951-034"	"(5/51)"	"#1951-034 (5/51) I see one of my close friends about to have a baby in a lobby under very primitive conditions. Hear her cry of pain as the baby is born. It looks like a rabbit. I say: ""Let it flow. Allow the natural processes to expel the afterbirth."" I put a receptacle under her to catch the blood. I notice that the baby has two left feet but after a day it looks OK."
"1951-035"	"(5/16/51)"	"#1951-035 (5/16/51) At a party with many people. Dance closely with L. (from Vienna, father's colleague, gay). Wonderful feeling. I explore many hidden rooms, find clothes and towels. Tempted to steal some but resist. Then go down to a lake where I see an old woman with grey hair who speaks German. ""I took my analysis very seriously, a long time ago."" ""When was that?"" ""A long time ago in Zurich!"" I gasp. ""You mean, you were analyzed by Jung himself?"" She nods and smiles but does not answer any more questions. She just sits and watches me. Then I walk along a plank that had new steps leading back to the house! Path was rerouted."
"1951-036"	"(5/20/51)"	"#1951-036 (5/20/51) Back with Edward in an apartment overlooking the Bay area. It is cold and foggy. We both work in S.F. Happy for two days, but then one day I miss the train to S.F. I see the RR tracks but am told the train just pulled out. I have a sinking feeling. I have to turn in my tricket and go by bus which takes much longer. I get to whre we work and find out that Edward has to work long hours, evenings, and won't be home for supper. Very oppressive feeling."
"1951-037"	"(5/27/51)"	"#1951-037 (5/27/51) I am back at our B. City apartment and meet our upstairs neighbor again. He is very friendly and embraces me. Also meet an old woman who wants to stay at our house. She is the original tenant, lan dlady? We go to the garden and she asks to urinate into the fish pond! Shift: Edward is offered a job in Mississippi. Two men take us down there in the rain. Dismal and terrifying. Shift: On the way to L. City there is a heat wave and a snow storm! ""I guess there is snow (pain) wherever you go."" It is again beautiful and calm."
"1951-038"	"(6/2/51)"	"#1951-038 (6/2/51) In a candy store. An old woman sobbing on the phone: ""I can't hear what you are saying,"" she keeps repeating. I get mad and leave. Meet a friend--acquaintance from Iowa--and slap him on the shoulder in a friendly way. He slaps me hard on my left breast. I get a sharp pain in my nipple. Am I pregnant? (I ask in the dream)."
"1951-039"	"(6/4/51)"	"#1951-039 (6/4/51) I am staying awake all night in a strange city. Then rowing on a lake with woman friend. I run through a maze-like corridor, up and down stairs and remember to close the gate and latch it very carefully."
"1951-040"	"(6/9/51)"	"#1951-040 (6/9/51) Frank and I in a boarding house. We live together and make love. Then we are in a garden, turning the earth, hacking away at dead plants and pulling weeds, so that we can plant white carnations. We discuss what other plants we want to sow and we decide that it is my responsibility to water the flowers!"
"1951-041"	"(6/16/51)"	"#1951-041 (6/16/51) I am in the woods with Edward and he picks up a snake. I implore him to let it go, but he laughs and says: ""It is a boa, but it can't hurt you."" It is green with brown spots. He lets it go and it follows me and attacks me as I flail wildly in fear. I hold the snake with my left hand as it sinks its teeth into my right thumb. I feel two little toothmarks and see blood oozing out but I jerk the snake's head away before it can bite me more deeply. I say to Edward: ""See what happened! Now I am poisoned."" Edward laughs and says not to worry. The snake goes off into the woods."
"1951-042"	"(6/24/51)"	"#1951-042 (6/24/51) Visiting Lucinda (college friend from B. City). Confusion. I leave to watch B. (college research fellow) at a graduation ceremony. I lose him in the crowd. Run after him, wearing red shoes and black suit. Catch up with him and try to embrace him, but he says, ""No it would be too much like an extramarital affair."" I return to visit L. We walk by the river. We talk about Frank. She says, ""For me, his adolescent behavior stands out"" and I tell her of his good qualities. And that I miss him. We laugh and have fun; look down and see Frank lying next to a girl trying to make love to her on a boat landing. He sees me and is very very abashed and looks away guiltily. I am furious. I jump across a little brook and say to L. ""You are right. This takes away all my feeling from him, just like that."" Snapping my finger. But then I mellow and say, ""But of course I do love him. It doesn't matter. He has his reasons..."""
"1951-043"	"(6/26/51)"	"#1951-043 (6/26/51) Frank has returned and we are alone in the kitchen. We dance naked, body to body, make love. Wonderful. Then other people come in. A man and a little girl who wrote a poem. I say something about prostitution as against love. ""When you pay you don't get involved, but when you don't pay, you have to pay with your soul."" Then I leave to get dressed. I had been wearing a bathrobe when I spoke with the others. I put on a green butcher linen blouse and a black skirt. I return feeling very good."
"1951-044"	"(7/1/51)"	"#1951-044 (7/1/51) Fighting with dragons and pythons. Meet Frank near a lamp post. He looks lonesome and we go to live in Gill Court (where previously I lived with Edward). Frank works in the garden and knows just what needs to be done. Also helpful in the kitchen, stacking dishes. I am happy to be living with him. Shift: everyone is calling about my Ph.D. thesis. I can't hear well what is being said over the phone. I am constantly getting lost. Shift: Image of Frank standing at the head of the stairs with light in the background. He is surrounded by son and three daughters. Shift: See the new Schlegel house by the sea. See them standing with light hitting them from background."
"1951-045"	"(7/24/51)"	"#1951-045 (7/24/51) I see Frank with his ex-wife who has returned. I am very jealous. But he tells me he does not love her. Then we are in a garden and I wander about. Meet my thesis advisor and say to him, ""Frank is taller than you. His upper arm is shorter than yours, but his lower arm is longer and his hands are longer."" We laugh and laugh and have a good time."
"1951-046"	"(7/25/51)"	"#1951-046 (7/25/51) I see Dr. Feingold (analyst from C. City). I am late for my appointment. I apologize and feel guilty. See Dr. Smith (my analyst from B. City). He is going upstairs with another patient. He tells me that he cannot see me any more. I ask, ""Where can I reach you?"" He gives me his Inverness address and continues walking upstairs, wearing a hat. At the top of the stairs he turns and says: ""Really Emma, if you must, you can write me!"" Shift: I see Denise (girl friend from Vienna). She is living in a sumptuous house by the sea. We talk of living two lives. At another moment we are children the age of Marita. We are happy together."
"1951-047"	"(7/27/51)"	"#1951-047 (7/27/51) Marita asks me if I love her. I take her into my arms and say ""Yes, I do."" Frank stays away a long time going to get me an ice cream cone. Then we dive into a warm pool of water that turns into a rushing stream. We almost drown, but OK."
