"n"	"dream"
"1886"	"(2008-01-30 (17)) I was watching something with Ezra. Xander Berkeley was in it and I said ""he looks young"" and Ezra said ""he looks old""."
"1887"	"(2008-01-30 (17)) I was at 'school'. We had to watch Juno. I said ""I just watched this!"". The teacher was saying that some phonics band was the last band in the movie and I said they suck."
"1888"	"(2008-01-30 (17)) I was at a shop. Ari (Entourage) was talking and I took his head 'off' and put it face down to shut him up and we were all laughing."
"1889"	"(2008-01-30 (17)) Liz, Max, Isobel and Michael (all from Roswell) and I had been chased by some people. Isobel was pregnant and this blue stuff fell out of her and I said something like ""an alien inside of you and the like"". She had had sex with two guys. One was the Miko Hughes character in Roswell and this random guy called Scott Speedman. The baby was born and it had Miko's nose. I said to Miko that he was a bad guy. Then it turned out it was his baby. We were watching it on Maury Povich."
"1890"	"(2008-01-31 (17)) I watched this movie and I found this snake lolly thing in the dining room. It was supposed to be 'dangerous' to put on but I did anyway. I was then in my bed. Tigger and Mittens were cuddling. I fed Tigger the snake lolly and then she was vomiting it under the table."
"1891"	"(2008-01-31 (17)) Clayton was riding a bike with me. Sometimes it was a car. He couldn't drive very well and I said ""you should let me drive"". We had to look for some stuff at this place. There was something about Roswell there."
"1892"	"(2008-01-31 (17)) Mom and I went to a shop and were looking at school bags, but I didn't like any of them. These people would go out and find an 'interesting' male and female to turn into a ghost along with their family. I ended up at this shop where the people and ghosts had been. They wanted the people working at the checkouts. The girl at the checkout and I had these red cards which meant that no-one could ask us questions or arrest us. Two cars crashed into the shop. William Sadler as the sheriff in Roswell came. The girl and I ran to the back of the shop to get out of the way. We went forward a bit and the sheriff told us to run and we all ran. He got shot and I was thinking 'What the hell? He doesn't die, he's in all the episodes!'. The bad guys were coming to kill us for insurance. The girl ran in the toilet to hide and I accidentally ran into the fridge next to it. I quickly ran into the toilet and tried to lock the first door but couldn't. I was thinking 'why do these doors never lock?'. I ran into the toilet cubicle. They were shooting at us from above but missed us. I ripped the toilet seat off and was hitting this guy over the head. They left and just one guy was left. The girl I was with was going to slice his throat but backed out. But then he left. A guy knocked on this glass door from outside and we went out and followed him, running. We got to this carpark and I saw this white car's door open. We ran up these stairs and I said ""isn't this wrong way?"". The bad guys threw a bomb. We got into the car and the girl got shot and died. We were driving off and I said the sheriff was dead."
"1893"	"(2008-01-31 (17)) I was about to leave home with Mom. I had just locked up and started walking towards the car, when these two black guys drove past then pulled up in the driveway. They were trying to get my keys off me. Mom came up and distracted them and I unlocked the door and went inside. I called Dad. When I got back to the front door, the police were there and the black guys were gone."
"1894"	"(2008-01-31 (17)) I was watching this show with Dad. There was a snake and it wriggled around in water really fast. These bigger creatures tried to get it, but it was too fast."
"1895"	"(2008-02-02 (17)) I was at school. I text the canteen to order my lunch. A teacher saw and asked what I was doing. I said ""Oh, ordering my lunch, I forgot to do it earlier"". She called me a liar. I showed them the message and then they went away a while later. I was then with a friend somewhere and they were buying mini M&M's and I wanted some but realized I had no money. I couldn't get to my phone either. Nana called though, and she gave money to me but it was for Ezra. Outside was really foggy. Something was attacking me."
"1896"	"(2008-02-02 (17)) I was in a building underground. The entrance had glass windows around it and had glass doors. Ezra was there too. I was trying to leave. There were two doors that would take us to the entrance. I went to one, but I saw this freaky lobster/scorpion thing so I left there. I thought I saw a crocodile. A couple and a young girl came in and the baby was near the crocodile, so I called out to the parents and a light turned on. It was just a cat. It looked evil and talked to me. I said that I wanted to get through and it was like ""Ok, go ahead"". I asked it about the lobster thing and it said it didn't know what it was, but ""maybe it is lethal"". Ezra and I went to these stairs to leave and a girl went through some doors and a lobster thing got through. The doors to get out wouldn't open. There were these rope things hanging from the ceiling and I grabbed one and swung away from the stairs. Jude Law (as Jerome Morrow in Gattaca) was there, his name was spelt wrong somewhere. He offered to get bitten by the lobster thing to see what happened. He could then walk, so everyone was like ""Let's go"", but I said that it might still be deadly. Lots of people ended up dying. Some army guys came. Some lady had a card that would allow two people to leave. Someone and I left. We went to this place and they had this machine where you could ask about any one and see who their ""soul mate"" was. When I put in 'Mom', it said Nana and Poppa and they realized that I'd 'stolen' the card. I ended up back underground. Eventually a lady came through the doors and we were allowed out. I hugged a car when we got outside. They blew up the place and it turned out it was our school. I said ""We start school in a few days and now they blew up the school"". Dad said ""only the nice part"". Behind the school there were some big white buildings and I saw Mr Willingham walking on there. Ezra asked who the math teacher was and I said ""Mr Gutenberg""."
"1897"	"(2008-02-03 (17)) I was at home. I was watching something that had Michael Cera in it, and Bryson and another person were watching it too. I went out to see Mom. Ezra went with her and she took off before I could talk. I got prickles in my foot. Bryson closed the front door and I couldn't get back in. I didn't have my phone on me and so I borrowed off someone. The phone was actually a piece of paper so I typed out what I said, but I had actually called Mom and said we needed to go to Dad's work. Mom was there later and saw Kiki and a kitten on the roof of the shed."
"1898"	"(2008-02-03 (17)) I was watching Roswell and Tess said something indicating that she was bad (she said it away from the others). She was telling Max, Liz and the others (but it wasn't them) that she was meant for Max, and they had all been matched up according to their hair colours. They were like transformers and they were going to use their powers to save the world."
"1899"	"(2008-02-04 (17)) I had stayed at Mom's. I got ready for school and drove there. Then I was on a bike and it was raining, but I was still 'driving'. Mom was walking behind me. Lots of people were around upstairs. Ezra was there too. The door names were weird. One of them said 'Smudgy' and I thought the other one said 'Smudgy Pudge', but it said 'McLovin'. My hair was normal and I hadn't had breakfast yet so I said that I wasn't staying here. I ended up at home and Dad was still asleep. It was 8am. Mom said I still had an hour to get ready. Dad asked if we wanted McDonald's for breakfast. I said I was going to eat breakfast at Mom's."
"1900"	"(2008-02-05 (17)) There was this road which I went down on a game -- some of it had no railings. There was a part where you had to jump across this gap. Then it was real and it was my birthday soon. I had made these party invitations to see what they looked like. A friend of mine (Asian from Juno) said she was ""sorta my friend"" and should be invited. I was like ""I'm not having a party!"". I asked some lady to get something."
"1901"	"(2008-02-06 (17)) I was watching some talk show with Heath Ledger on it. His daughter had died and her name was Ella. The host asked him about some wings he was wearing and he said ""Oh, I'll put wings on for Ella"" then he said ""You go Ella!""."
"1902"	"(2008-02-06 (17)) I was watching some movie with Kiefer Sutherland and Tom Cruise. Some woman was in it too. Kiefer and Tom had had a romantic relationship. Tom and the girl had had sex then she pretended to forget about it to embarrass him. Someone planted a bomb somewhere."
"1903"	"(2008-02-07 (17)) It was really cloudy and dark. Calvin was staying at our house on a bed in my room. Soon though, he didn't. Anyway, we went to this place and we realized a tornado was coming. I was freaking and asking this girl if she had a basement or something. Everyone ran out and we were running too. The tornado kept 'following' us. We got to the car and then it was right behind us. Other people were driving away too. Some guy went on a boat because he thought that he could escape if he went on the water. The tornado was coming to him. It went away and Dad and I went home."
"1904"	"(2008-02-08 (17)) Some guy was really old, but no-one had seen what he looked like old."
"1905"	"(2008-02-08 (17)) I was at school. Eugene, Jeremiah and the others were in class."
"1906"	"(2008-02-08 (17)) I was at school. I was with Calvin somewhere. It was home time and the office had a line for Greeks and Macedonians to sign out. We went there one day and you also had to be born in January. We were standing behind Eugene. I read his sheet and it mentioned his father (Abraham) and his mother's last name was Cuthbert, which reminded me of Elisha Cuthbert. His home was called something weird like Bertz. His street was Schub and I asked Mom where it was later and she was like ""why?"". The lady at the desk (where you had to sign out) told Calvin that she would refer us if our birthdays were in January. We told a teacher and they said she had lied. I went to the toilets and some were open. I went into a cubicle and this girl stood outside, asking if I was female. They gave me a dildo. I like ""what the hell are you giving me this for?!"". Then I was watching Entourage and Turtle had a dildo of 'himself' on the bed. It was like rounded at the bottom and went into a point and had a smiley face on it."
"1907"	"(2008-02-08 (17)) Ari (Entourage) was at his office. There were two offices next to each other and one was his wife's. He had some woman in his office and his wife came. He said ""Don't go in there"" and she looked upset. The woman came out and his wife went in. Then the wife left. He wasn't cheating."
"1908"	"(2008-02-09 (17)) We were at Nana's. We had this little room there or something. The backyard was different. Ezra, Dad and Roland were there too. It went a bit funny and sometimes I was me, and sometimes it was these two groups of people (2 boys and 2 girls) and they were coupled up, but were trying to hide it from their family. One had sex with her boyfriend and also had her period another time. Roland was less yuck and we ended up going out. Time passed and we had had sex and stuff. No-one knew. Dad and Ezra were out the back and there was hedgehog slice. Fido had a swollen lip. Then we were at a video shop. I think some bad people came so I decided to take some movies, but I hadn't heard of any. I was looking for Firefly and Entourage. I saw a Goosebumps book and put one in my bag. Then we were doing something there. Someone had attacked these little kids. Devil Fish was there and he went off somewhere. This kid pointed out this alarm device which was a phone. They ordered fish and chips. Kylie Minogue was then there and she ran to Devil Fish through this mirror maze. He shot her boyfriend. Then we were there. Eugene was there and I was wondering why I wasn't going out with him. Devil Fish was going against us. Then we were at this school. These kids were following me and I couldn't eat, so I told this teacher to take care of them or I was going to kill them. Rodney and Daryl were there."
"1909"	"(2008-02-09 (17)) I was driving with Mom. I saw Classmate-F-17 and someone else from my class in 2002, in red dresses. I told Mom I knew them and she wanted to give them a ride and I said no. We were at a shop and Ezra was there. Paulina was there and she came near me."
"1910"	"(2008-02-09 (17)) I was watching Entourage. Drama was calling Ari 'Lala' because it was his ""proper name"" and Ari was like ""Don't call me that!""."
"1911"	"(2008-02-10 (17)) I was at Nana's. She had this swampy fish pond with frogs and she was trying to get them to kill them. She pulled one out and it was covered in seaweed. She was giving it food and water to tempt it over. It jumped on me and was snuggling and then it was a cat. Later, I was driving this thing and was looking out for animals and crashed into this thing and hurt myself. Then it was later and Aunt Sally and Dad were watching this thing where they were acting like mimes. There were three cousins and one was old, and one was a boy, and one was a girl. Dad, Ezra and I drove to this fair and saw a friend or a relative and said ""good luck Eugene"" -- he was going to have photos taken with a retard. Then Ezra and this girl had stuff in common and this guy and I were looking at ""nerdy"" stuff. The girl was making Ezra buy her stuff and asked him to the prom."
"1912"	"(2008-02-11 (17)) I was at school. Calvin was there. I saw some dude with a dark blue, dirty uniform on. Evelyn and Calvin were like ""What's that smell?"" and I was like ""Oh, you think everything smells"". They said it was the guy, but he was pretty far away and I said ""Oh, can you smell him from that far away?"". The guy was kind of hot and he walked past us and went into this cave. An old, ugly guy came out. Calvin and I were talking to him and he said they had an elephant in there. I figured they were zookeepers. We chatted for a while but then we had to go to class. During class, he came in and said ""Don't forget to deliver that note!"" and I was like ""what note?"". I checked my bag and found it. A while later, I told the teacher I needed to deliver it. She gave me a card to sign. I left and was talking to the guy but realized I forgot the card and went back to get it. Calvin was there talking to him when I got back. He said ""Do you want a dog? Do you want a wildfire?"". I said ""Well, I don't want the wildfire!"". He said it was dangerous and said, about fire, ""Oh, well I like them!"". I was going to say 'not over in [where Nana lives] ' because of Nana, but I was eating. I thought he was going to let us work with the elephant. Then Calvin and I were on a platform. There were all these cars and people. A bus left, full of people from a different school. Two girls were talking to us. One said something about wearing the school shirt normally, which she said meant that it was tied up behind you. I said ""No, that's called the bust way"". She said I should fold my shirt up to ""let your hair show"". I was completely confused and asked ""what?"" and she took her pants off. Then she said ""Maybe it's too soon"". Then she was naked and her friend was almost naked. When I complained she attacked us, but then left. Then this guy and I were going out. Sometimes, I wasn't me. We were going to be having sex later. He thought I liked the zookeeper guy (the young one). I said ""Oh, Parker? No!"". These bad guys went after some guy. This woman was pretended to be hanging off a cliff. They were helping her and she had glue on her hands. This guy jumped onto this little bit sticking out of the cliff. Then this guy who looked like Xander Berkeley said he wouldn't do something until they ""put a ring on my finger"". They gave him a silver ring and then he asked for a door handle thing. He put it on and he walked away and didn't do what he said he was going to do."
"1913"	"(2008-02-12 (17)) I was watching Entourage. Turtle's girlfriend (Lauren London) was coming over. Ari wanted to see her, so he hid in the apartment and his wife was behind the door. Turtle and his girlfriend were lying in bed. Later, Turtle was saying how all he did was complain about his father. Then this girl was married."
"1914"	"(2008-02-12 (17)) I was somewhere in the car with Dad. There were all these llama signs everywhere. There was a costume house. Calvin told me about these green shorts. The shop was gay and people 'jumped' on the car. Ezra was there. We went to a friend for something. We were young and with this girl. I was then not there, and was replaced by Elisha Cuthbert. The friend, who was a guy, did something and told Mom to leave and he said he wasn't going to do anything to me. Later, she met with this girl and got something off her."
"1915"	"(2008-02-12 (17)) The Drifters were on TV. They were singing this weird song, and they sounded weird and they kept repeating ""You know I'll always love you"". I was looking for Ben E. King but I didn't know what he looked like."
"1916"	"(2008-02-12 (17)) I was walking down some street with a girl and others. It got dark and we saw someone and it was Jason Lee, so we brought him along for protection. People kept attacking us, but Jason scared them all off. Then I decided we should run down this alley. There were lots of people in the alley. I couldn't punch properly and thought it was a dream, so that I could punch and I hurt my hand. Then it was Max and Liz (both from Roswell) and they were in her father's water bed. This bad guy was sucking them into it. Liz was swimming up and just as her head came out, he pulled her back down and I was annoyed.  Then her father and someone were looking for her. It showed the bed and there was movement under the sheets and they were naked in bed. The father saw them and Liz was like ""Dad! Pops!"" and it was awkward."
"1917"	"(2008-02-12 (17)) I saw Mr Gutenberg and he had long hair and it was black."
"1918"	"(2008-02-12 (17)) Calvin was in an accident because of some drunk people. Later, Mom, Ezra and I were driving. Mom was going fast and I said ""slow down"" and she did and then she suddenly went fast again."
"1919"	"(2008-02-12 (17)) Mom said that she thought Spaceman was a girl. Ezra and I were looking but we noticed that he had a bum and a penis, and was definitely a male."
"1920"	"(2008-02-13 (17)) Ezra kept hanging outside a guy up the road's house. He was an old guy and kept getting annoyed at Ezra. Ezra and Mom thought he might also be killing or raping (and killing) kids and burying them in his backyard. Ezra was digging there one night, but he found nothing. Dad told Ezra that the guy was moving soon."
"1921"	"(2008-02-14 (17)) Mom and I went to this house and she waited for a while and called them, but no-one came out so she figured that no-one was home and left. We kept going around this roundabout. Then she remembered that he would sometimes move to this other apartment so the next door neighbours wouldn't get suspicious. We went to the other apartment and Kevin Connolly was there. We were really nervous around each other and I liked him. Then I was watching Entourage and he, Drama and Turtle lived together. I had to 'make' Drama's breakfast, which was this food in a tube. Turtle was asleep in a bath. I had to feed a cat. Later, they were playing poker with an old lady and they won heaps of money. The next door neighbour was listening to them. Then there was a party and I was taking photos. Some people got a photo with Marilyn Manson. I was driving and I was at a roundabout. There was another guy driving and we almost crashed because he didn't indicate properly."
"1922"	"(2008-02-15 (17)) I was at some house and they had something that was like a serial killer (don't remember what it was). Then I was wandering around and I ended up killing someone and their brain was hanging out. I also killed some other person. I grabbed some disc of some science thing and got out of the house through this window. I was walking along the street and this girl followed me for a while. I went into this house and called Mom and told her what I did. She was making swallowing vomit-y sounds. I got a message from Dad saying he was on the way and I was crying because if he had been sooner he could've stopped me. He picked me up and then we went to this meeting that he went to regularly. He had an e-mail from Malcolm McDowell (they were friends). He was also friends with some director guy. People from school were there. Daryl asked me how my job was going and I said ""it isn't"". We were walking together and Mom was walking in front of us. I said that I was quiet so I could ""play more games"" and he laughed. Mom looked around and asked if he was Lumpy and he said his name was Daryl Kemp and I said ""I call him Lumpy"". Then Calvin and I were talking and he said that he heard something about Mr Fantastic (Fantastic Four). I said I already knew he died and he was like ""how?"" and I said that I was there (I had killed him) but I told him not to tell anyone because we were pretending that I wasn't there. I went to some shop with Evelyn, which was where she worked. There were some weird dancing things. Some L plates broke and we got some yellow card to replace them. I was walking with Calvin through the back of the shop. I was singing along to the song on the radio. I heard Dmitri saying that new music was ""rubbish"". Then I was at school and we were in the common room which was bigger and really different. Eugene and someone came in. After heaps of people were in there someone locked the door. Eventually they unlocked it. This teacher gave out ice-creams. They gave a blue one to Eugene, a pink one to Bradley and mixed ones to Darius and Jeremiah. I went into some room and this lady teacher was telling me how she would design it if it were her home. Earlier Mom was in a carpark and she parked smoothly into a spot and this other car drove past the area. Then it reverse parked into the spot behind her car. Lloyd (Entourage) was driving it and Ari (Entourage) was yelling at him."
"1923"	"(2008-02-16 (17)) I was at home. Ezra, Bradley and Dad were in the lounge. We were playing some game on the Wii. Bradley finished and I tried it but I kept moving too fast."
"1924"	"(2008-02-16 (17)) I was watching Alias. Ezra had been watching it all. I didn't recognize what was happening. There was a black guy on the screen and I asked if it was Carl Lumbly. Then someone said something about a virgin and I remembered that I'd seen it."
"1925"	"(2008-02-16 (17)) Mr Reilly was at his house and this guy was harassing him."
"1926"	"(2008-02-16 (17)) I was looking on top of a bookshelf at home. I found some old Christmas presents. One was for Granny. I opened them. I was going to ask Dad what was going on with my car."
"1927"	"(2008-02-18 (17)) I was at 'home'. It was around 9pm and it was creepy and I was worried that someone was going to come in. I was sitting on a lounge watching TV and I called Mom. I told her I was feeling nervous and she asked if I wanted to go back to her place and I said that Dad was going to be home soon. Then the front door opened and was banging."
"1928"	"(2008-02-18 (17)) The world had been separated into cities. They were surrounded by 'bubbles'. A protector would walk around the outside, guarding them. Some guy wandered into this party. It was day time and was outside. Marlon Brando (like in The Godfather) was there and I was like ""Ooh! Marlon Brando's gonna kick your butt!"". I was thinking that I should watch On The Waterfront today. This tiger jumped to get something and then Marlon was petting it. This guy gave this girl an engagement ring and she was like ""What does it mean, anyway?"". Outside the bubble, it looked like Super Mario Galaxy. Someone said ""you sleep at night, and hope you don't get killed""."
"1929"	"(2008-02-19 (17)) I came home and the kettle was on. Mom was there. I watched an episode of The Young Ones. Then I had some notebooks with me and they all had stuff about Eugene in them. People from school were there and we were in the games room. Calvin was there and he kept trying to get my notebooks and then an assembly was called. He asked what letter the person I like's name started with. He said ""Mellena?"" which meant Eugene. I had this ribbon thing and Calvin and I were playing with it. He gave Lucia another end of it and they were pulling on it. I saw some orange scissors so I got them and cut her side and we were then 'fighting', but not really and she said that she doesn't want to come between Calvin and his ""ex-best friend"". I said ""I didn't even know we were best friends, let along ex-best friends!"". Genevieve was also there and she had Breakaway in her pocket. Then Mom, Ezra, Dad and I were at some place. We stopped the car and got out. I tried to ask what was going on, but they just looked at me funny. I realized they were going to the shop. Then I was at some place with the school and there were rabbits. People had had sex with them. I was playing with a black one. Samantha had one and they were selling them but first they were having an auction. Payton was next to Samantha and she let hers go and it went down the side of some stairs. It looked at her and I said ""You gaylord"". Then I was at this other place and Calvin and I decided to wag. We were walking together through these tunnels but we didn't know our way around. Eventually, we didn't recognize the people we were passing. Then we saw Ms Corbett, and then Mr Stevenson. We got past them and then we were walking across this oval full of little kids. They yelled out ""Hagrid August Underground"" (which was a movie made in 1918 and this guy knew where to go if they called it out). The guy came after us and he caught Calvin first. I grabbed this fridge, and it opened and smelled really bad. I hit him and he fainted. I walked back across the oval and Edward Norton was walking up and I kicked him in the head and knocked him out. Then I was at home. I looked out the window and saw 3 cars. I thought this little white one was Darren's. I didn't know who the others were."
"1930"	"(2008-02-20 (17)) I was at a shop. Mom and Ezra went off and I found this Entourage shop. I was thinking of getting an Ari thing. I went back to Mom and told her. Ezra went to get food. He found this place and the guy gave him a free sample and gave me some too. It was really nice, but it was fattening. We got food from somewhere else and I tasted Ezra's chips and they were really nice. There was something about a Top 100 guys list. George Clooney had won from 1986-1996 or something. There was a car with Colin Farrell and some other guy in it. A friend of Mom's said ""thought you weren't eating, that you were on a diet"" and I said ""I am, but these chips are so nice""."
"1931"	"(2008-02-20 (17)) I was at 'school'. Eugene said something to me and I was going to ask him to repeat it but I felt uncomfortable talking to him and I didn't."
"1932"	"(2008-02-21 (17)) I was at school and in a gym. Autumn was there and she was a bit loopy. We got put into groups and Autumn pulled out a gun. She said she'd shoot my group or the other group. I think mine was bigger so she was lining up the other group to shoot them. Daryl was in the other group. I was then thinking ""She'll probably let them go now"" and she did. Someone noticed a scar on the back of her head -- she had a 'lobotomy'. There was food in the gym. I grabbed two of these chocolate things and left. I went to the common room which was bigger and different. Eugene and Darius were sitting in a chair behind ours. Calvin and I were on ours. Eugene was singing Love is All Around and I starting singing a little of it, quietly. Calvin said ""Look around, it's your boyfriend"". I was recording Eugene singing. Then I remembered that Mom was picking me and Ezra up so I left. I had some clothes on a clothes line and took mine off. Ms Pascal came and I asked if I needed help. I went to the car and Ezra was in the backseat, and I was wondering why he wasn't in the front. Then he moved to the front. Later we were in a car accident. The tip of my nose was bleeding. I think someone died and then I was at Mom's and Darren was making jokes and Mom told him who died and Darren decided to kill himself. Later I was playing a game and Darius was watching me and I was like ""Go away""."
"1933"	"(2008-02-21 (17)) I found out that Eugene actually lived at 44 Casserley Ave. I went driving down there with Mom and it was a fancy house. I got out of the car and was going to take photos of it, but I heard someone talking to Eugene, so I stayed back. Somehow I ended up in the house. There was something that said his middle name was Trenton or something. His father was called Eugene as well. His mother said something that implied I'd been noting down all this information on Eugene and she gave me hers, Eugene's and Abraham's (his father's) birth certificate."
"1934"	"(2008-02-22 (17)) I was at school and in Accounting. Autumn was there too and I fell asleep. When I woke up, it was lunch time and Eugene was outside (and he had been there before). I went to the bench but it was in a different spot and we had another bench that we were using. Evelyn was on the old bench. I had to give Darius something of mine and it had my middle name on it. I was thinking that I wanted Eugene's. In English, Ms Madsen said we had an assignment due."
"1935"	"(2008-02-23 (17)) Mom, Ezra and I went to Midvale shops. It was dark and raining. We had a 4wd type of car. Mom went into the shop and Ezra and I waited outside. It flooded and there was a deep 'hole' next to the car. It all filled up and it went past my door at the back of the car. It wasn't past the door on Ezra's side (the left side). Mom called Darren to tell him to get something to get us out. Mom came out later to check on us and Darren still hadn't come -- he had seen a friend instead. Then we were somewhere else and this Cloverfield thing happened. The monster was throwing stuff around. It went over a bridge holding 'balls' of people (they were wrapped up in a ball). I was looking up at it. These people had also bought a new home. After the flood and the monster, I was wondering if they would get a new house (the house they had had survived, though). We were hanging around and Thuy and Raquel were there."
"1936"	"(2008-02-23 (17)) I had a school photo and Forrest was in it, but he was young and odd looking. He was called Forrest Pock. My eyes were big in the photos."
"1937"	"(2008-02-23 (17)) I was at home. Ezra and I were looking at the pool. I complained that I ""just filled it up yesterday, now it's going to overflow"". I thought Dad must've cleaned it up because he knew I swept the backyard."
"1938"	"(2008-02-23 (17)) I was in chemistry. Elijah pat me on the back. I wanted to sit next to Elijah and Autumn but Autumn had moved."
"1939"	"(2008-02-23 (17)) We were on a bus. We got called on by our last names. We were young and Calvin was there. The guy said the left side had to be filled first."
