"n"	"dream"
"A-011"	"#A-011 (1999/2000 (14)) Mom and I were driving up north. The silvery CD boom box was in the back seat of the car where I was, and we were driving up north and Dad was going to meet us there in a few weeks. And we had our chicken named Loretta in the back seat with us also with a towel covering her. And when we got this to this farm, we took Loretta out and we took the sheet off of her, and she was supposed to go in the gate to the farm, but she just flew for a mile or so, kind of like a vulture would. And then Mom was going to stay and talk to the man at the farm, and I was going to go and walk to a little store. And I don't know where I would have the sense to know where it is or what, but I just started walking. And about three miles away I came to a little store, and I walked in and I sat down at a little counter and there was a little TV there. And Susan said -- my friend Susan, her father -- came in and was showing me a videotape of birds and chickens and things. And then Susan's father started getting all touchy-feely and all, and before long, he was trying to rape me. And I knew not to try and get away because then he would just corner me more and hold me down more. I just screamed as loud as I could, and Susan and her friends all came out from the back of that store and Susan was crying. And before long they held him down so I could get away. And Susan took me to a pay phone, and it was a huge keyboard, and I was trying to call our number, but it wouldn't go through somehow. And then I started walking down the street to head for the farm again, and Mom comes walking up. And then I woke up. "
"A-012"	"#A-012 (1999/2000 (14)) That there was this __microphone?_____ that I carried around and it would transmit a signal to the amplifier at home, so that my voice could be heard on the surround sound. And Mom was at home and she could respond to me by radio _, and I had this __microphone?____ in my pocket, and Dad and I were riding the tandem bike full speed ahead down the beach and into the water. And we were riding the bike so fast that we couldn't stop, and before we knew it, we were like, we rode the bike out into the water, out until we couldn't touch. And the bike was sinking and we were trying to like swim off of it. And the next thing I knew, I was right at this carnival thing and I was falling off the edge of the __spinning wheel?____ . Now isn't that bizarre!"
"A-013"	"#A-013 (1999/2000 (14)) I was in a plane, and I was sitting down in the seat and we took off. And then there was an announcement that something went wrong and we had to land again. So we landed again and then we taxied for a while and then we took off again. And then there was an announcement that said we had to land again, so we landed again. And then, while we were taxiing, I went over to see who else was, and Ms. Hollander was on the plane. And I went over, I didn't have time to get back over to my seat before they were going to take off again, so I just sat down next to Ms. H____ in that seat, and we took off again. And then we had to land again, so we landed again. And I guess my subconscious said, ""Okay, enough of that business,"" and then I woke up."
"A-014"	"#A-014 (1999/2000 (14)) I was at Six Flags, but it was really a college campus. But the weird thing about this was, it was like a continuation of a dream that I had last week. Last week I dreamt that I was at Six Flags, but it was really a college campus and I wanted to go on this water ride. And I was with Melinda, and we were going up an elevator to get to it, but the elevator door didn't close, and I was standing at the edge and it was going up, and I almost fell off because the door didn't close. And then when we got up to the place where the seats were, it was like this roller coaster, and we started to move forward and my strap thingy didn't lock in place and I felt like I was going to fall out. And then I woke up. And last night I dreamt that I was at Six Flags, but it was really a college campus, but instead, I dreamt that I was with Hayleigh and Kendra and Susan and that we were at the table eating a lunch. We were at like a little table, and I swore to myself I was going to ride the Montu_ before we left, but first I wanted to go on this water ride. And I went up with Melinda and Kendra and Susan on a really fancy elevator this time. It had like a crystal door to it, and the little thingy that you activate it with that was a crystal key. And then when we got inside, it had a white floor and it was like really fancy and high class looking inside. The panel was very sleek; it wasn't ""blah"" like most of them are. And we rode up four floors on it, and then we had to get off and get on another elevator and ride up four more floors. This elevator had a dark floor and it was still very formal and very classy looking. We rode up four more floors on that one. And then we crossed the hall, we got on another elevator that was kind of average. It had a dark floor. We rode up two floors on that one. And when we got off, we were on the roof. And we got into these seats that were like water ride rafts and we started paddling out. And then I jumped out of mine and I started swimming around, and I swam in this little ____ thing. Then I grabbed onto it again and I swam back to shore, kind of back to shore with it. And then I had to take my wet bathing suit off and wrap myself in a towel and I walked around like that for a while. We kind of walked through the, got back on the elevator and rode down a floor, and were walking around in different halls and things, and we went into somebody's dorm room and it was so messy. And then I realized it was somebody's private space, and I turned around and I rode down the elevator, the fancy white high-class one, and we came out in the lobby, and we were going to the principal's office to get me some dry clothes. And she put up a big fuss about how we weren't supposed to walk around wrapped in a towel 45 minutes after we got off the ride. And I was trying to tell her that I just now got off of it, and then I woke up. Last night I had a dream that we lived in an apartment, that our house was like a unit in an apartment complex, and that the apartment complex had just gotten a new alarm system installed. I don't remember if it was a fire alarm system or a security alarm system, but it was something. And I dream that we couldn't have Archie any more because his fast movements would activate the system all the time. So instead I had eight small cockatiels in a cage and they were all fluttering and flying around, and two of them got away somehow. And I was looking for them and looking for them in the kitchen table, and I started moving too fast, and I activated it. And then I dreamt that Mrs. Gammons, my old Gifted teacher, was standing in our kitchen, and she was talking about my gifted first grade, my grades when I was her student in first grade. "
"A-015"	"#A-015 (1999/2000 (14)) One time I had a dream that we were back at Glacier National Park, and that we were there with Sandra and Derek and Dad and Mom and I. And we were hiking and hiking. We were hiking down by some lake area, and we were trying to get back to the Visitor Center and we thought we would have to go through a cave and swim to get back to the Visitor Center. And I came in wearing a dress. So we found a shorter route that was only a mile, and we got back to the Visitor Center and I kind of lost everybody, so I figured I would stand by the door in the Visitor Center and they would find me eventually. And they did. Samantha and Sandra came out, pushing this gingerbread house that was so big it had to be pushed along on wheels, and it was designed to be eaten on the trail ______ a snack. So Samantha and Sandra and I only wanted to hike one more mile and Dad and Derek and Mom wanted to go ten more miles. So Samantha and Sandra and I took the short trail and we said we would meet back at the Visitor Center. So Samantha and Sandra and I started off hiking, pushing this gingerbread house that was on wheels, it was so big. And we were eating little cookies and little candies and little nutty things off of it, and was getting top-heavy on the one side, so we had to lay it down. And I was just going to reach for another ginger cookie, and I woke up."
"A-016"	"#A-016 (2000 (15)) When we were out of town a few weeks ago, I had a dream that I was in a reception hall place that kind of looked like our school cafeteria. And I saw this woman sitting at a sound board, which is very unusual, because whenever I see people at sound boards, they're always guys. But anyway, there was a woman at a sound board, and the board wasn't black. It was kind of a light burnt sienna brown with the knobs and things were black. And she wanted me to come over and help her, and she showed me where the power switch was. But she wanted me to find a video input key, and I was looking all over the schematic for it and I didn't see it anywhere. And meanwhile, while I was looking over the schematic for the video input key, she was mopping up and cleaning up the reception hall. And she was sweeping the floor and things. And I said, ""Could you come over and help me find it?"" And she didn't seem to hear me. And then after a while I woke up. "
"A-017"	"#A-017 (2000 (late) (15)) Our receiver wasn't working and that Dad got all upset and decided that he didn't want anything to do with it. And so Mom and I were going to fix it by ourselves. And we started working on it, and we got the front left and right channels to work just fine, but no matter what we did, we could not get the rear section to work. And we had a movie on pause while we were doing all of this. And then somehow I ended up at the Homecoming dance and I was on the second floor of the main building looking out into the courtyard with Ms. Richards and Ms. Salazar and we were talking about an overhead projector that was rolling through the courtyard to somebody's class, and then I told them I had to go down and go to the dance. And I was at the dance and it was hot, in the bright sun in the middle of the day in the courtyard, and there was a girl named Kendra that was sitting at the sound board and her and I would talk. I had a dream that I was on a ship, of all things. And that we were going up and down and up and down long, narrow staircases with a bunch of my friends, and I was seeing alarm boxes everywhere, like fire alarm boxes. And I would get all nervous and jerky when I would see one. [Continued on side 2. I had a dream on the other side of this tape that got cut off. It was about, let's see, I dreamt that dream that got cut off, but the other one, I don't.] Dad and I were testing out the portable two-way radios to see if they work, because I can't remember if it was Carol or some other person, or Josie, somebody coming. And we were going to go to the beach with them and we wanted to keep track of them. So we were like testing them out. And the one that I had turned into a cell phone and called somebody's phone number, and we kind of like interrupted them during supper. And then, as we were trying to figure something out, it turned into this like computer keyboard desktop tape recorder type of thing. We were going through and listening to past transmissions and past conversations that it had saved. And this is really a watered-down version, man, this is dumb. And the rest is on the other side of the tape."
"A-018"	"#A-018 (2000 (late) (15)) I was at Jungle Park and that Mom was going to have her art show there, and we were walking through some thick foliage and looking at different animals and looking at different people's displays and we decided to go back to the band show and see if they had their sound board set up yet. So we got back there and there was a rope fence partitioning off this spot of ground where they were going to put the equipment. And there were a whole bunch of chairs set up, but there was no band and no sound tech, so we kept walking around for a while. And then we got back, we decided to go back and see if they were set up, and I saw this guy sitting in the spot where the board was supposed to be with the radio, and he said, ""They're not going to have a band today. They're not going to need me today."" And then I woke up."
"A-019"	"#A-019 (2000 (late) (15)) We were at this craft fair thing at Jungle Park. How come I always have dreams about us being at Jungle Park? Anyway, I dreamt that there was a craft fair at Jungle Park, and I just had this incredible urge to go in the bathroom and do something really sick. So I asked to go and use the restroom, and I got up and all of a sudden I was in my bedroom looking west into the bathroom, and there was a line of about five people in front of me. And the person in front of me was crawling, a crab crawl on her back, and I decided, ""Nah,"" this wouldn't really be a good time to go in there and do that. There's too many people around. And so then I woke up. "
"A-020"	"#A-020 (2000 (late) (15)) I went back to sleep, and I had another dream about Jungle Park. How come I keep having all these stupid Jungle Park dreams? I dreamt that we were at Jungle Park going to a craft fair, and I was walking along with some old lady showing her some different craft booths and things, and I had this feeling like we were getting lost, but I wasn't really sure. Then we went back into the main building and I saw the old mechanical horse that I used to ride on all the time. "
"A-021"	"#A-021 (2000 (late) (15)) Mom and I were driving out to Specs -- I can't remember if Dad was with us or not -- and we had a machine set up in the car, plugged into the fuse panel and drawing 12 volts just like all the other accessories. And Mom and Dad were going in to look at some things at Specs for a while, and I stayed out because I was tired and I wanted to take a nap, and I turned on the ignition and started listening to the radio. And I was listening and listening, and before I knew it, it was starting to sound a little weak, and I thought, ""Oh no, here we go."" And so I shut it off and tried to start the engine, and it wouldn't start. And I was thinking, ""What am I going to tell them? Am I going to tell them I was reading the whole time?"" And so I went in and I was looking around with them, and Mom handed me four CDs and said, ""Take these up to the counter."" Two of them were Christmas orchestra things, one of them was something to do with rap and the other one I couldn't read. And I was thinking to myself, ""How am I going to tell them it won't start? Should I just let them discover it or what?"" But I woke up before they really tried to start it. [This actually happened when I was in middle school: Mom left me in the car, left the radio on, and promised she'd come back in 5 minutes. But, we both lost track of the time, and she came out a half hour later and couldn't start the car!! I can't tell you how awful I felt that day, it was all my fault!} "
"A-022"	"#A-022 (2000-11-12 (15)) Yesterday when I was at school, they were working on the alarm system and it kept going off and going off and going off all during second and third periods. So I guess it was reflected in my dream last night. I dreamt that I was in sixth period in Mr. Perry's class in the main building and that someone had taken one of the alarm boxes off the wall and was holding it in their hand, and this woman grabs me by the hand and says, ""Come on, let's get out of here. It's going to sound any minute now."" And so we got out, we were running down the stairs as fast as we could run, and all of a sudden I was hanging in mid-air and I couldn't run anywhere. And I was climbing these bars to get down the stairs, and then I ran out onto the football field and the alarm finally went off when I got out there. And I saw like this huge gang of people out there, and I couldn't tell who was who and what they were out there for."
"A-023"	"#A-023 (2000 (late) (15)) I was hanging on top of a playground kind of a thingy, and that I had fallen, I had jumped from it, and I got knocked unconscious and I was in the hospital. And Dad brought me this baby doll that talked and I took the baby doll's clothes off, and I was trying to figure, she had all kinds of complicated electronic things. She had a couple of ______ things and I was trying to figure how she worked and what she did. And I was sitting here experimenting, and all of a sudden Dad comes in the room, and I put the doll's clothes on top of the doll, and I put a picture of a wreath on top of the thing, and then he starts talking to me and I kind of drift away to another scene. Before I know it, I'm contemplating going to the bathroom in a chicken dish. Sorry, I had to use a tiny tape recorder on the last three entries, so they've been sounding kind of ""blahhhh"" because the boom box has been nowhere in sight. But fortunately I found it, so now I can use it and get better fidelity. "
"A-024"	"#A-024 (2000 (late) (15)) Mom and I were riding the tandem down to the beach and we were taking this ice cream thing with us. And we got to the beach, we swam a little, and all of a sudden I was in the car and listening to the radio without the engine on. You know how you put the accessories on? Well, I was getting ready to shut off the ignition because it had been on for almost an hour, and I was feeling through all kinds of wires. There were so many wires, it was like spaghetti. And then all of a sudden I realized I was feeling behind the back seat instead of where the ignition switch is. So I climbed over the back seat and went in to where the ignition switch was. There were as many wires as they were like spaghetti. I was feeling through all the wires, I think I knocked a couple of them out of place, and I could not find the ignition switch. "
"A-025"	"#A-025 (2000 (late) (15)) I was in Aunt Margaret's pool. And we swam to the deep end and Dad said, ""Look at this beautiful pearl here."" There was like seaweed and pearl. And Dad said, ""Don't ever go under this ledge; you might run out of air. I'm going to go get some pearl for Aunt Margaret and show them how pretty it is in her pool. And I swam around while he was getting that, and I remember telling myself not to worry about pool vents, but I was still worried about them anyway. "
"A-026"	"#A-026 (2000 (late) (15)) It was Christmas morning and I was kind of lollygagging around, giving Mom and Dad a chance to put presents under the tree. And there were Christmas lights strung all over the stairwell for some reason. And I was searching frantically for the tape I wanted to record our Christmas on because I want to record it on a tape, and I was searching frantically all over where I keep tapes. And then I woke up, so when I woke up, I realized the tape I was looking for was right on the edge of my dresser so that I wouldn't lose it."
"A-027"	"#A-027 (2000/2001 (15)) The high school campus was at Six Flags, and Melinda and I were thinking of skipping out of Geometry and going to ride the Montoo (sp?) and I told her that it was anchored right off of the back edge of the Media Center. So we decided that we would go in the back gate, and go up the back elevator, which was just like the one that we don't like. But then we decided we didn't have to go up there because it wasn't up there. But and then we went into the Warrior Vision Studio where a bunch of people were, and I was singing in front of the sound board in there, and I leaned my watch up against the ledge and it made a funny beep and a male voice said, ""Hi, Chalise, we have to get out of here."" And something about the humidity is way too high and the fumes are way too high. And I thought, ""That is really weird."" It was a male voice, so I told Melinda, ""Come on, let's get out of here before anything else happens."" And we started, we crossed, I was holding her hand tight like I do Mom's, but I was holding her hand tight for some reason, and we were crossing several streets and then we were walking through a garden. And two spare tires were laying kind of by the side there, and there was a crate like there is out in the garage and a couple of pots and we had to get through this thorny plant. We had to step up on this ledge. And then I woke up."
"A-028"	"#A-028 (2000/2001 (15)) Somebody was prank calling me with a red, a yellow and a green code because they didn't like the way that I was running the sound board in Mass Media. I also dreamt that I cried because Sandra slept most of the time that she was here. "
"A-029"	"#A-029 (2000/2001 (15)) Uncle Carl gave me a digital surround receiver for Christmas and that I was going to keep it handy to go up in my room someday. And I wanted to see if it actually works. So one time, Dad was still teaching CPR in my dream. While Dad was at a CPR class, I took our old one out and put this one in and wired it all up, and it worked. It kind of had funny sound to it though. And then I took it out and put ours back in, but I only had time to put the front left speaker wire in and I had to slide the cabinet back real quick because he was coming home. And so then I was putting it in its box and set it in the dining room. And another time, when nobody was around, I went to go look at it. It had turned to solid chocolate. [laugh] And then Mom was driving me and a couple other friends to a chorus concert in the car and Dad had to go to another CPR class, so we let him off at the park. And then when we got home, I went to check on it again, and the solid chocolate had turned into white chocolate with little marshmallows in it, and I took a bite of it and said, ""Hmm, I think I've had enough for a week."" "
"A-030"	"#A-030 (2000/2001 (15)) Samantha, Sandra and Derek lived in the Farley's house and that Dad's first wife was really Cassandra. And everything was going on. I was sitting, eating my supper, and I had turned some show on, and Mom and Dad were both saying, ""Go away, go away."" And so I got up and left. I turned off the TV and got up and left. And then Mom wanted to go to Seven Eleven with me, and she was mumbling to her self, ""Bars, bars, bars -- all we ever go to is bars."" And then I woke up. "
"A-031"	"#A-031 (2000/2001 (15)) Mom and Dad were having one of their long talks, and I had to get to school and I was late. It was like 8:10 in the morning, the time when we usually record in first period; in Warrior Vision [Westport High School was the Warriors, and so our show was called Warrior Vision] we usually record our show at that time. And so Mom and Dad took me to an elementary school to spend the rest of the day because that's where they started at that time.."
"A-032"	"#A-032 (2000/2001 (15)) Melinda was having trouble with her female parts and that she needed surgery, and she was driving me home in our car for some reason. And she had to stop at the store and get this tube thing. It was like a hose with a funnel at one end and a little bag at the other end. [laugh] And in order to do the surgery, they needed parts from my portable CD player, and for some reason I found it in the bathroom with a cane attached to the handle leading into the toilet. And I was like, ""Oh, my gosh."" I turned it on to see if it would still work and it was dark in the bathroom, and the LEDs, the liquid crystal display doesn't usually light up, but this time it lit up like LEDs. And it sounded like real surround sound, when it was just this little thing. I can't remember what else happened. "
"A-033"	"#A-033 (2000/2001 (15)) Thursday I had a dream that our sound system needed some rewiring. It was not at its full potential, but it could be run. And Dad was going to run a wire down through the wall at the northwest corner of the living room and under the floor for some reason. And we had baby chicks and Loretta was the mother. Loretta is a chicken that we have that's very ornery. And we couldn't pick up the baby chicks because Loretta would peck the dickens out of us if we did. [laugh]"
"A-034"	"#A-034 (2000/2001 (15)) And last night I had a dream that we were having a family picnic and that we were going on like a family picnic thing, like with Uncle Carl and Aunt Joyce, and Dad and Mom and I were all sitting on a picnic table and we were riding on it through the street as if it were a car. And Uncle Carl and Aunt Joyce were on a convertible riding next to us. And I had my portable CD player packed in a bag, and then Dad stops the picnic table and went into the bathroom, and I put the unit on real quick so that nobody would see it. And then we kept on going until we saw my Aunt Janice and Uncle Larry, and all of a sudden we were at this huge English palace mansion thing, and I was going to ask Uncle Larry how his 5.1 system is coming along, when I realized that Uncle Larry was a police officer now. And he was singing a song to me about how he really cared for me, and he had a bunch of his other officer friends close by. And for some reason I was kind of apathetic and he was really hurt, and he wanted me to recite this poem. And I started crying. And he thought that maybe I just didn't like officers or something, and I was trying to tell him about some good experiences that I've had, like with Mr. Harris. And then all of a sudden this girl with this English accent comes by and starts talking to me and wants me to bow and say hello to these people dressed up like porcelain dolls who are supposed to be English royalty. And then she asks, ""Can you play the organ?"" And I said, ""I know a few bars or something, but I'm not really sure."" So we went out into this big, vast room with columns and things, with an organ in it. And this maid person comes out and says, ""Don't disturb them, because Uncle Larry and his officer friends were having a conference in the other room. And so I started to play what I thought I knew, but none of the keys would make any sound, and then the girl told me that we needed to put a new set of keys in. And they were all paper, and I was like playing these paper, white paper strips in a box, and these were supposed to be the keys. And then I woke up."
"A-035"	"#A-035 (2000/2001 (15)) About two weeks I had a dream that I was at school and I was with my Mom and we were headed to the bus but I had to use the bathroom first. And the bathroom in the building on the first floor had this thing in most of the stalls where it would have an infrared beam of light coming down from the ceiling, and when you would go in, it wouldn't do anything; but when you would come out, it would activate this two-tone back-up alarm sound that would just fill the whole bathroom. And I was so afraid to go in there because of that. And I finally went in, and nothing happened."
"A-036"	"#A-036 (2001 (early) (15)) Yesterday I had a dream that it was my sixteenth birthday already, and that I wanted to record it on tape like I did Christmas. But I started opening presents, and by about the third present, I realized that I hadn't started the tape. And then I woke up. "
"A-037"	"#A-037 (2001 (early) (15)) I was in the Bell Building again and my key wouldn't fit in the key receptacle of the elevator. And for some reason I had the notion that it had a blue interior. And I finally decided, well, I probably should go to the Media Center elevator because there's a catwalk, but I realized [tape clicked off] ... Media Center elevator because it had a computer in it, and you had to download certain files and install certain programs before you could go up or down. Man, was that weird or what?"
"A-038"	"#A-038 (2001 (early) (15)) Her husband Michael and I were going to a club where Jackson Browne was going to sing. And Jackson Browne sings this Stay song, and I had to build the stage. And I'm out in the back yard putting these buckets and plastic bricks and crates all on top of each other, and I just throw a whole white blanket over the whole thing and put a grading light .... [ends abruptly] ."
"A-039"	"#A-039 (2001 (early) (15)) First, Dad and I were swimming in the water, and I was jumping off of his knee and diving in and stuff. And then I dreamt that I was like at this parade, and they were shooting off planes that had engines of certain sound frequency ranges. And I was looking at this chart to see which one they were, depending on what kind of frequency ranges they had. Then I was snooping around somebody's back yard, and I was naked, and I stepped in some sand spurs and I got a whole foot full of them. And the lady came out and she was real nice. She put some kind of peroxide on them and just made them not hurt any more and made them fall right out. And I came in, and the lady was showing me her CD burner and told me her husband is really good with it. And I put something in the left-hand tray and finalized it, and when I got home, I found out that the lady's husband was at home looking at our CD burner. And then I kind of woke up."
"B-001"	"#B-001 (2001-06-10 (16)) This is the first time in a long time that I've actually been able to wake up and remember the dream that I had. They've been slipping away from me as soon as I gain consciousness for some reason. But the other night I had a dream that I was at this run-down house -- kind of like Aunt Kristin's house -- and we heard this band playing. And Christina and I were walking around, and we were going to try to record this thing, and it was playing in one of those portable classroom-like things. And we were walking around to get the best vantage point because she wanted to record it. And we even stepped inside and realized that it was much quieter in there, because their amplifier was, they had the wires like under the door and everything outside so that we could hear them. And it looked just like Mom's vacuum cleaner, only without the hose. [laugh] And then I was listening to a tape that was supposed to have some oldies on it, but instead it had some bluebird songs and some oldies. And I dreamt that Christina and I -- it was dark by then -- we were walking and she gave me three numbers. One was 898-2956, the usual one. The other one was one that she had gotten for her birthday, but she got it taken away because she violated her curfew. And then the third one was another one that she got."
"B-002"	"#B-002 (2001-06-10 (16)) The other night's dream, the one I just said, had a bunch of silver things in it: a silver unit to play the tapes on, a silver recorder that Christina was going to record the band, and the band's amplifier was silver. It looked just like Mom's vacuum cleaner without the hose. And last night's dream was full of red things. I don't remember, I have no recollection as to what happened, but I remember walking in a red house and seeing red things, and having a little toy house that was red."
